i	Pos	All	HiTrans	CytoRibo
1	-12	0.123	0.2	0.253
2	-11	0.124	0.102	0.129
3	-10	0.119	0.133	0.123
4	-9	0.121	0.103	0.072
5	-8	0.121	0.109	0.102
6	-7	0.129	0.095	0.128
7	-6	0.119	0.076	0.069
8	-5	0.113	0.093	0.079
9	-4	0.09	0.381	0.446
10	-3	0.422	1.278	1.402
11	-2	0.151	0.551	0.749
12	-1	0.163	0.282	0.345
13	1	1.996	1.939	1.898
14	2	1.996	1.939	1.898
15	3	1.996	1.939	1.898
16	4	0.065	0.169	0.278
17	5	0.086	0.318	0.408
18	6	0.133	0.283	0.218
19	7	0.033	0.019	0.07
20	8	0.06	0.035	0.059
21	9	0.091	0.111	0.116
22	10	0.032	0.036	0.078
23	11	0.086	0.054	0.055
24	12	0.124	0.083	0.044
