G217B gene name	G217B Annotation	G217B transcript	G217B predicted gene	G217B Pfam accession	G217B Pfam name	G217B Pfam description	Y footprint FPKM	H footprint FPKM	Y mRNA FPKM	H mRNA FPKM	Y footprint counts	H footprint counts	Y mRNA counts	H mRNA counts	Longer Leader	Leader Category	Y TE	H TE	mRNA Y/H
	adenine phosphoribosyltransferase	ucsf_hc.01_1.G217B.00378	HISTO_AZ.Contig47.Fgenesh_histo.31.final_new	PF00156.22|PF15610.1|PF14681.1	Pribosyltran|PRTase_3|UPRTase	Phosphoribosyl transferase domain|PRTase ComF-like|Uracil phosphoribosyltransferase	6.302696873090185	8.150233125366249	6.298284504694864	8.683947964886865	358.0	1008.0	530.0	2302.0			0.5148872231972619	0.01950458786630449	-2.514752245012808
	NOL1/NOP2/sun domain-containing protein	ucsf_hc.01_1.G217B.00379	HISTO_AZ.Contig47.eannot.1657.final_new	PF01189.12	Nol1_Nop2_Fmu	NOL1/NOP2/sun family	5.5525985826221405	4.9600628538231915	5.822069619098679	5.773118248619525	557.0	289.0	997.0	801.0			0.24100381832540263	-0.25983596740941284	-0.08013741434165311
	ADP-ribosylation factor	ucsf_hc.01_1.G217B.00381	HISTO_AZ.Contig47.Fgenesh_histo.36.final_new	PF00025.16|PF00503.15|PF01926.18|PF08477.8|PF00071.17|PF04670.7|PF00009.22|PF09439.5|PF00350.18|PF13555.1|PF02421.13|PF10662.4	Arf|G-alpha|MMR_HSR1|Miro|Ras|Gtr1_RagA|GTP_EFTU|SRPRB|Dynamin_N|AAA_29|FeoB_N|PduV-EutP	ADP-ribosylation factor family|G-protein alpha subunit|50S ribosome-binding GTPase|Miro-like protein|Ras family|Gtr1/RagA G protein conserved region|Elongation factor Tu GTP binding domain|Signal recognition particle receptor beta subunit|Dynamin family|P-loop containing region of AAA domain|Ferrous iron transport protein B|Ethanolamine utilisation - propanediol utilisation	6.283507876868251	4.948367520190817	7.589107364942384	7.812792641961699	416.0	129.0	1527.0	1482.0			-0.795124633272192	-2.311205694383961	-0.3527740618401216
GPI3	phosphatidylinositol N-acetylglucosaminyltransferase GPI3 subunit	ucsf_hc.01_1.G217B.00382	HISTO_AZ.Contig47.eannot.1660.final_new	PF08288.7|PF00534.15|PF13692.1|PF13439.1|PF13579.1|PF13477.1|PF13524.1	PIGA|Glycos_transf_1|Glyco_trans_1_4|Glyco_transf_4|Glyco_trans_4_4|Glyco_trans_4_2|Glyco_trans_1_2	PIGA (GPI anchor biosynthesis)|Glycosyl transferases group 1|Glycosyl transferases group 1|Glycosyltransferase Family 4|Glycosyl transferase 4-like domain|Glycosyl transferase 4-like|Glycosyl transferases group 1	6.106915204211221	5.201540212625586	6.588402894626337	5.19724182140712	723.0	302.0	1499.0	475.0			0.02898716438682536	0.5575178186053869	1.26207228839841
DBP6	ATP-dependent RNA helicase DBP6	ucsf_hc.01_1.G217B.00383	HISTO_AZ.Contig47-snap.6.final_new	PF00270.24|PF00271.26|PF04851.10|PF13401.1	DEAD|Helicase_C|ResIII|AAA_22	DEAD/DEAH box helicase|Helicase conserved C-terminal domain|Type III restriction enzyme, res subunit|AAA domain	5.399574779154293	4.276018428584862	5.1964703958202145	4.939179930829821	738.0	265.0	952.0	662.0			0.71357923813602	-0.1099420748580382	0.12820168016958622
	conserved protein of unknown function	ucsf_hc.01_1.G217B.00384	HISTO_AZ.Contig47.Fgenesh_histo.42.final_new	PF04886.7	PT	PT repeat	-1.0883090938114703	8.435270506783398	4.943635338086244	7.5690529254815475	6.0	3455.0	583.0	2990.0			-5.521469577095774	1.4194370086887718	-2.7545063722161105
	conserved protein of unknown function	ucsf_hc.01_1.G217B.00386	HISTO_AZ.Contig47.Fgenesh_histo.46.final_new	PF13854.1|PF13964.1|PF13418.1	Kelch_5|Kelch_6|Kelch_4	Kelch motif|Kelch motif|Galactose oxidase, central domain	-1.9710333782892366	7.5931012109913985	6.228359324758578	8.232164810435115	4.0	2369.0	1746.0	5820.0			-7.688917848245872	-0.08584417205679618	-2.132894270497345
	long chain fatty acid oxidase	ucsf_hc.01_1.G217B.00388	HISTO_AZ.Contig47.eannot.1591.final_new	PF00732.14|PF05199.8|PF01266.19|PF00890.19|PF07992.9|PF13450.1|PF01946.12|PF01494.14|PF03486.9|PF12831.2	GMC_oxred_N|GMC_oxred_C|DAO|FAD_binding_2|Pyr_redox_2|NAD_binding_8|Thi4|FAD_binding_3|HI0933_like|FAD_oxidored	GMC oxidoreductase|GMC oxidoreductase|FAD dependent oxidoreductase|FAD binding domain|Pyridine nucleotide-disulphide oxidoreductase|NAD(P)-binding Rossmann-like domain|Thi4 family|FAD binding domain|HI0933-like protein|FAD dependent oxidoreductase	2.829088606406086	0.7425881210605079	7.049177741529629	5.906912463970816	114.0	21.0	3155.0	1188.0			-3.709614280321602	-4.611104915523387	1.0131764927380065
	conserved protein of unknown function	ucsf_hc.01_1.G217B.00390	HISTO_AZ.Contig47-snap.10.final_new				4.789519036194585	4.479874530099422	5.344229026935249	5.789694535300395	320.0	202.0	698.0	790.0			-0.044235135938722525	-0.7566005778140523	-0.5745542931859529
SUR2	sphingosine hydroxylase	ucsf_hc.01_1.G217B.00391	HISTO_AZ.Contig47.Fgenesh_histo.141.final_new	PF04116.8	FA_hydroxylase	Fatty acid hydroxylase superfamily	8.234947795432907	8.094936156674954	5.980304136835537	6.559409025882511	2407.0	1709.0	749.0	930.0			2.7651185133993113	2.0887465581793645	-0.7081936738677808
	TCTP family protein	ucsf_hc.01_1.G217B.00395	HISTO_AZ.Contig47.eannot.1592.final_new	PF00838.12|PF02049.13|PF00081.17|PF12645.2	TCTP|FliE|Sod_Fe_N|HTH_16	Translationally controlled tumour protein|Flagellar hook-basal body complex protein FliE|Iron/manganese superoxide dismutases, alpha-hairpin domain|Helix-turn-helix domain	9.287226933394379	10.430076946239147	8.336840460920202	10.049950798935678	2423.0	4186.0	1862.0	5074.0			1.4608613272761182	0.9333455746903905	-1.8421991228362824
SEC65	signal recognition particle SEC65 subunit	ucsf_hc.01_1.G217B.00397	HISTO_AZ.Contig47.eannot.1700.final_new	PF01922.12	SRP19	SRP19 protein	6.845325040941546	5.863794115197511	6.415267579086189	5.990388069030377	636.0	252.0	701.0	434.0			0.9405323166572983	0.4266254735540542	0.2957907252350047
	mitochondrial cation transporter	ucsf_hc.01_1.G217B.00398	HISTO_AZ.Contig47.eannot.1593.final_new	PF03820.12	Mtc	Tricarboxylate carrier	5.866827778025773	6.519165301179173	6.625197117916749	6.966999067108305	418.0	514.0	1050.0	1106.0			-0.24789448508903478	0.10538566145778905	-0.4708907340123627
	dual specificity protein kinase (Lkh1)	ucsf_hc.01_1.G217B.00401	HISTO_AZ.Contig47-snap.16.final_new	PF00069.20|PF07714.12|PF01633.15|PF12108.3	Pkinase|Pkinase_Tyr|Choline_kinase|SF3a60_bindingd	Protein kinase domain|Protein tyrosine kinase|Choline/ethanolamine kinase|Splicing factor SF3a60 binding domain	6.849089749753615	6.365799534610044	6.77972647001864	6.548923584649092	1676.0	938.0	2372.0	1680.0			0.5798381345369159	0.370095377347873	0.1017141005487412
	conserved protein of unknown function	ucsf_hc.01_1.G217B.00404	HISTO_AZ.Contig47.Fgenesh_histo.180.final_new	PF05236.9	TAF4	Transcription initiation factor TFIID component TAF4 family	5.956865493535122	5.124138779568817	6.109902717756079	5.836789843462822	774.0	340.0	1278.0	879.0			0.35743763058098343	-0.15943163650708403	0.1440240894724507
	PHD finger domain-containing protein	ucsf_hc.01_1.G217B.00406	HISTO_AZ.Contig47.eannot.1705.final_new	PF00628.24	PHD	PHD-finger	6.792436757174857	4.972381648964851	5.900254240860208	5.362121074880527	1891.0	419.0	1513.0	866.0			1.4026573711165908	0.1634800014712452	0.409044381158874
	BTB/POZ domain-containing protein	ucsf_hc.01_1.G217B.00410	HISTO_AZ.Contig47.Fgenesh_Aspergillus.61.final_new	PF00651.26|PF08912.6	BTB|Rho_Binding	BTB/POZ domain|Rho Binding	2.2774141189555768	3.184027248024759	3.8113056381886863	3.9495613236376053	30.0	44.0	129.0	118.0			-1.0234166644311684	-0.2123146482259255	-0.26734447026972585
	GNAT family acetyltransferase	ucsf_hc.01_1.G217B.00412	HISTO_AZ.Contig47.Fgenesh_Aspergillus.63.final_new	PF00583.19|PF13508.1|PF13673.1|PF13527.1|PF08445.5	Acetyltransf_1|Acetyltransf_7|Acetyltransf_10|Acetyltransf_9|FR47	Acetyltransferase (GNAT) family|Acetyltransferase (GNAT) domain|Acetyltransferase (GNAT) domain|Acetyltransferase (GNAT) domain|FR47-like protein	3.646884832695071	5.585919439456631	7.028722190535977	6.972037202224618	73.0	219.0	1130.0	903.0			-2.871362503038965	-0.8328983353810662	-0.07240379650944728
	endoglucanase, no start met	ucsf_hc.01_1.G217B.00415	HISTO_AZ.Contig47.genewise.149.final_new	PF12669.2	P12	Virus attachment protein p12 family		4.1741794620684125	4.112158691696448	4.256742833155781	0.0	88.0	160.0	147.0				0.47065605629955254	-0.27367292628014006
PUS7	pseudouridine synthase TruD/Pus7	ucsf_hc.01_1.G217B.00416	HISTO_AZ.Contig47-snap.25.final_new	PF01142.13	TruD	tRNA pseudouridine synthase D (TruD)	5.319339982723281	4.107065266209875	4.954234992932418	4.733841300566877	693.0	234.0	799.0	570.0			0.8755798445928042	-0.07355660697008126	0.09130490754473364
	GMP synthase subunit B	ucsf_hc.01_1.G217B.00419	HISTO_AZ.Contig47.eannot.1677.final_new	PF00958.17|PF00117.23|PF02540.12|PF07722.8|PF06508.8|PF03054.11|PF00733.16|PF02568.9|PF01507.14|PF00764.14|PF01171.15	GMP_synt_C|GATase|NAD_synthase|Peptidase_C26|QueC|tRNA_Me_trans|Asn_synthase|ThiI|PAPS_reduct|Arginosuc_synth|ATP_bind_3	GMP synthase C terminal domain|Glutamine amidotransferase class-I|NAD synthase|Peptidase C26|Queuosine biosynthesis protein QueC|tRNA methyl transferase|Asparagine synthase|Thiamine biosynthesis protein (ThiI)|Phosphoadenosine phosphosulfate reductase family|Arginosuccinate synthase|PP-loop family	7.233762909149439	7.843632270778053	7.708822080394202	7.443980969741358	1732.0	2068.0	3575.0	2473.0			0.035415683557177946	0.9528707284236155	0.135752325832037
GIG30	fatty acid elongase Gig30	ucsf_hc.01_1.G217B.00426	HISTO_AZ.Contig47.fgenesh_plus.101.final_new	PF01151.13	ELO	GNS1/SUR4 family	7.0326664195911865	6.732862525750451	7.104139664542793	6.642263848790268	1490.0	947.0	2325.0	1403.0			0.43900160985033443	0.6438181043471038	0.33278703093171824
	mitochondrial F1F0-ATP synthase g subunit	ucsf_hc.01_1.G217B.00428	HISTO_AZ.Contig47.eannot.1680.final_new	PF04718.10	ATP-synt_G	Mitochondrial ATP synthase g subunit	8.264146812458083	7.499382688988636	8.47883855459283	8.088865660362329	1290.0	594.0	2223.0	1410.0			0.29578311266719437	-0.03626354398677201	0.26088410940969453
	glucose-inducible SAM-dependent methyltransferase Rrg1	ucsf_hc.01_1.G217B.00430	HISTO_AZ.Contig47.Fgenesh_histo.19.final_new	PF10294.4|PF13489.1|PF13659.1	Methyltransf_16|Methyltransf_23|Methyltransf_26	Putative methyltransferase|Methyltransferase domain|Methyltransferase domain	3.302195897773028	2.20170214034795	4.707172734470736	3.6471182782003564	74.0	27.0	291.0	116.0			-0.8945019818957665	-0.8921967104654853	0.9309656714495724
VPS28	vacuolar sorting-associated protein	ucsf_hc.01_1.G217B.00432	HISTO_AZ.Contig47.eannot.1556.final_new	PF03997.7|PF14425.1|PF05120.7	VPS28|Imm3|GvpG	VPS28 protein|Immunity protein Imm3|Gas vesicle protein G	5.427081551363612	5.074884860460726	6.606837832104886	5.87762490813188	217.0	133.0	730.0	366.0			-0.6692814259393329	-0.24952062028423327	0.6001241391521992
	 ATP-binding cassette (ABC) transporter	ucsf_hc.01_1.G217B.00438	HISTO_AZ.Contig47.Fgenesh_histo.23.final_new	PF00005.22|PF13304.1|PF13207.1|PF02463.14|PF13555.1|PF13238.1|PF13521.1|PF13476.1|PF08477.8|PF12848.2|PF13481.1|PF13401.1|PF01926.18|PF03205.9|PF00004.24|PF03193.11|PF01580.13|PF13191.1|PF13671.1|PF05729.7|PF13175.1|PF13604.1|PF13173.1|PF02223.12|PF13166.1|PF00910.17|PF00025.16|PF01935.12|PF02492.14|PF07728.9|PF00448.17|PF00931.17|PF04665.7|PF10662.4|PF03266.10|PF03308.11	ABC_tran|AAA_21|AAA_17|SMC_N|AAA_29|AAA_18|AAA_28|AAA_23|Miro|ABC_tran_2|AAA_25|AAA_22|MMR_HSR1|MobB|AAA|DUF258|FtsK_SpoIIIE|AAA_16|AAA_33|NACHT|AAA_15|AAA_30|AAA_14|Thymidylate_kin|AAA_13|RNA_helicase|Arf|DUF87|cobW|AAA_5|SRP54|NB-ARC|Pox_A32|PduV-EutP|NTPase_1|ArgK	ABC transporter|AAA domain|AAA domain|RecF/RecN/SMC N terminal domain|P-loop containing region of AAA domain|AAA domain|AAA domain|AAA domain|Miro-like protein|ABC transporter|AAA domain|AAA domain|50S ribosome-binding GTPase|Molybdopterin guanine dinucleotide synthesis protein B|ATPase family associated with various cellular activities (AAA)|Protein of unknown function, DUF258|FtsK/SpoIIIE family|AAA ATPase domain|AAA domain|NACHT domain|AAA ATPase domain|AAA domain|AAA domain|Thymidylate kinase|AAA domain|RNA helicase|ADP-ribosylation factor family|Domain of unknown function DUF87|CobW/HypB/UreG, nucleotide-binding domain|AAA domain (dynein-related subfamily)|SRP54-type protein, GTPase domain|NB-ARC domain|Poxvirus A32 protein|Ethanolamine utilisation - propanediol utilisation|NTPase|ArgK protein	1.4823455702258026	2.2514551755450496	1.879478951951799	3.5756304737230926	45.0	60.0	88.0	237.0			0.11334147307594478	-0.7709558707911222	-1.8252403065921006
	conserved protein of unknown function	ucsf_hc.01_1.G217B.00440	HISTO_AZ.Contig47.Fgenesh_histo.24.final_new				2.036786126170063	3.0912979503515583	4.34490285813846	4.784842996921261	48.0	78.0	353.0	398.0			-1.797641877166456	-1.1403256191827822	-0.5690289236036081
	WD40 domain-containing protein	ucsf_hc.01_1.G217B.00442	HISTO_AZ.Contig47-snap.40.final_new	PF00400.27|PF04762.7|PF12894.2|PF08662.6|PF07676.7	WD40|IKI3|Apc4_WD40|eIF2A|PD40	WD domain, G-beta repeat|IKI3 family|Anaphase-promoting complex subunit 4 WD40 domain|Eukaryotic translation initiation factor eIF2A|WD40-like Beta Propeller Repeat	4.808432146594898	4.06939484824382	5.451766297045012	4.384750445531853	288.0	135.0	668.0	265.0			-0.1328592956481729	0.23786383009888823	0.9379270666923523
	heme/steroid binding domain-containing protein	ucsf_hc.01_1.G217B.00444	HISTO_AZ.Contig47.Fgenesh_histo.26.final_new	PF00173.23|PF07318.7	Cyt-b5|DUF1464	Cytochrome b5-like Heme/Steroid binding domain|Protein of unknown function (DUF1464)	6.6475172450965765	5.157347020652698	7.8850982036215935	6.486958613791447	614.0	171.0	2150.0	678.0			-0.7271061037230759	-0.7763921657518278	1.26905080500934
GTR2	GTP-binding protein GTR2	ucsf_hc.01_1.G217B.00445	HISTO_AZ.Contig47.eannot.1562.final_new	PF04670.7|PF00025.16|PF08477.8|PF09439.5	Gtr1_RagA|Arf|Miro|SRPRB	Gtr1/RagA G protein conserved region|ADP-ribosylation factor family|Miro-like protein|Signal recognition particle receptor beta subunit	5.05102001934277	5.522358177552923	7.629010457229238	7.538052297384147	248.0	269.0	2199.0	1716.0	Yeast	B	-2.067515583084526	-1.462474692444303	-0.03813062497571629
	histidine acid phosphatase	ucsf_hc.01_1.G217B.00446	HISTO_AZ.Contig47.Fgenesh_histo.28.final_new	PF00328.17	His_Phos_2	Histidine phosphatase superfamily (branch 2)	6.175453456170914	4.202163581273326	6.649511999788567	5.699208820960271	798.0	159.0	1646.0	708.0			0.036416311184287675	-0.943825812300024	0.8212143940074892
	SAM dependent methyltransferase	ucsf_hc.01_1.G217B.00447	HISTO_AZ.Contig47.Fgenesh_histo.48.final_new	PF13489.1|PF08241.7|PF13847.1|PF12847.2|PF08242.7|PF13649.1|PF13659.1|PF01209.13|PF10294.4|PF02390.12|PF05175.9|PF01135.14|PF06325.8|PF02353.15|PF01728.14|PF06080.7	Methyltransf_23|Methyltransf_11|Methyltransf_31|Methyltransf_18|Methyltransf_12|Methyltransf_25|Methyltransf_26|Ubie_methyltran|Methyltransf_16|Methyltransf_4|MTS|PCMT|PrmA|CMAS|FtsJ|DUF938	Methyltransferase domain|Methyltransferase domain|Methyltransferase domain|Methyltransferase domain|Methyltransferase domain|Methyltransferase domain|Methyltransferase domain|ubiE/COQ5 methyltransferase family|Putative methyltransferase|Putative methyltransferase|Methyltransferase small domain|Protein-L-isoaspartate(D-aspartate) O-methyltransferase (PCMT)|Ribosomal protein L11 methyltransferase (PrmA)|Mycolic acid cyclopropane synthetase|FtsJ-like methyltransferase|Protein of unknown function (DUF938)	0.9839987118106274	4.749884416255589	4.5603949595582725	5.686819731898766	14.0	149.0	248.0	450.0			-3.065921392945704	-0.3837158882562566	-1.2555135571613008
TRZ1	tRNA processing endoribonuclease Trz1	ucsf_hc.01_1.G217B.00451	HISTO_AZ.Contig47-snap.46.final_new	PF12706.2|PF13691.1|PF00753.22|PF13763.1|PF09403.5	Lactamase_B_2|Lactamase_B_4|Lactamase_B|DUF4167|FadA	Beta-lactamase superfamily domain|tRNase Z endonuclease|Metallo-beta-lactamase superfamily|Domain of unknown function (DUF4167)|Adhesion protein FadA	5.265707313560655	4.891171242236438	5.855726845172274	5.5206311573577365	918.0	554.0	2052.0	1352.0			-0.07954467680967836	-0.07624048773437764	0.2060069029937308
	bZIP family transcription factor	ucsf_hc.01_1.G217B.00452	HISTO_AZ.Contig47.eannot.1570.final_new	PF00170.16|PF07716.10|PF12090.3|PF09606.5	bZIP_1|bZIP_2|Spt20|Med15	bZIP transcription factor|Basic region leucine zipper|Spt20 family|ARC105 or Med15 subunit of Mediator complex non-fungal	9.107231112518708	9.174780459802948	7.635211781508558	8.180208984966482	7889.0	6468.0	4223.0	5121.0			1.9824941858120906	1.5477909022233867	-0.6740859882787307
	no significant blast hit	ucsf_hc.01_1.G217B.00453	HISTO_AZ.Contig47.Fgenesh_histo.51.final_new				0.7594481823067709	1.1135202883471744	3.095893637333663	4.655515278071841	8.0	8.0	60.0	147.0				-2.988775562337746	-1.6887104255589853
	MIF domain-containing protein, macrophage migration inhibitory factor family protein	ucsf_hc.01_1.G217B.00455	HISTO_AZ.Contig47.Fgenesh_Neurospora.88.final_new	PF01187.13	MIF	Macrophage migration inhibitory factor (MIF)	-1.8617166839457366	-2.5076445779053333	3.787006695934799	2.1566061618703314	2.0	1.0	149.0	40.0			-5.138248525078595		1.5013117492436607
	ADP-ribose 1''-phosphate phosphatase	ucsf_hc.01_1.G217B.00456	HISTO_AZ.Contig47.Fgenesh_histo.54.final_new	PF01661.16|PF05642.6	Macro|Sporozoite_P67	Macro domain|Sporozoite P67 surface antigen	8.305526115133452	5.687286733939793	7.886914628212678	6.358170566047905	1703.0	217.0	1892.0	545.0			0.9290863417227144	-0.11766440472119122	1.3996552773439666
	CENP-X superfamily domain-containing protein	ucsf_hc.01_1.G217B.00457	HISTO_AZ.Contig47.fgenesh_plus.115.final_new	PF09415.5|PF00808.18|PF04484.7|PF09531.5	CENP-X|CBFD_NFYB_HMF|DUF566|Ndc1_Nup	CENP-S associating Centromere protein X|Histone-like transcription factor (CBF/NF-Y) and archaeal histone|Family of unknown function (DUF566)|Nucleoporin protein Ndc1-Nup	6.13079016520952	5.083657045150649	6.949084037037403	5.920033694561897	346.0	131.0	906.0	369.0			-0.3078190170259423	-0.283157222024327	0.8999615576546995
	Mis12 domain-containing protein	ucsf_hc.01_1.G217B.00459	HISTO_AZ.Contig47.Fgenesh_histo.57.final_new	PF05859.7	Mis12	Mis12 protein	5.7293012446020635	5.177454594101273	6.260205347943282	6.267631149298517	371.0	198.0	796.0	665.0			-0.020429248539277634	-0.5369571278103233	-0.13651458617604195
	conserved protein of unknown function	ucsf_hc.01_1.G217B.00460	HISTO_AZ.Contig47.eannot.1704.final_new	PF00487.19|PF13903.1|PF02656.10	FA_desaturase|Claudin_2|DUF202	Fatty acid desaturase|PMP-22/EMP/MP20/Claudin tight junction|Domain of unknown function (DUF202)	1.6365836680541608	5.664744165288704	4.291558641506551	6.914400561998774	17.0	217.0	159.0	814.0			-2.1445001186504493	-0.6964369693231491	-2.75193070531303
