# dvsaATG_highdiffn_outframe_Nc.txt
# Genes with in-frame high-score dATGs
# In N. crassa:
#   - in top 5% by difference, aATG.scorekn - d1.scorekn
#   - in top 40% by RNA abundance
#   - dATG is out-of-frame with aATG
#
# Gene: systematic gene name
# aATG.scorekn: annotated ATG score against narrow Kozak consensus sequence
# d1.scorekn: 1st downstream ATG score against narrow Kozak consensus sequence
#
# Edward Wallace, Jan 2019
Gene	aATG.scorekn	d1.scorekn
NCU00372	0.728	1
NCU03221	0.728	0.992
NCU03054	0.664	0.913
NCU16316	0.717	0.948
NCU07528	0.755	0.974
NCU02547	0.675	0.892
NCU01283	0.791	1
NCU04195	0.75	0.957
NCU03653	0.752	0.957
NCU01981	0.683	0.877
NCU04823	0.765	0.957
NCU12131	0.641	0.833
NCU01141	0.771	0.957
NCU01645	0.778	0.957
NCU07384	0.755	0.93
NCU03129	0.8	0.974
NCU06030	0.818	0.992
NCU16450	0.767	0.94
NCU16446	0.811	0.983
NCU01674	0.832	1
NCU05805	0.824	0.992
NCU01907	0.829	0.992
NCU02627	0.708	0.871
NCU03312	0.797	0.957
NCU08046	0.797	0.956
NCU08779	0.825	0.983
NCU17127	0.838	0.992
NCU03114	0.754	0.907
NCU07141	0.743	0.896
NCU08816	0.822	0.974
NCU05664	0.78	0.931
NCU08299	0.807	0.957
NCU04596	0.824	0.974
NCU09972	0.824	0.974
NCU03877	0.783	0.93
NCU04454	0.801	0.948
NCU09888	0.766	0.912
NCU08345	0.855	1
NCU12024	0.812	0.957
NCU05453	0.832	0.975
NCU00892	0.838	0.975
NCU04662	0.821	0.957
NCU00340	0.765	0.899
NCU04932	0.858	0.992
NCU00696	0.824	0.956
NCU03810	0.751	0.875
