# JEC21_mitofates_26June2018
# JEC21 mitofates predictions from http://mitf.cbrc.jp/MitoFates/
# applied to first 120aa of protein sequences, which gives DIFFERENT predictions from full-length protein
# Edward Wallace, 26th June 2018
# 
# Sequence ID	Probability of presequence	Prediction	Cleavage site (processing enzyme)	Net charge	Positions for TOM20 recognition motif (deliminated by comma)	Position of amphypathic alpha-helix	BHHPPP	BPHBHH	HBHHBb	HBHHbB	HHBHHB	HHBPHB	HHBPHH	HHBPHP	HHHBBH	HHHBPH	HHHHBB	HHPBHH	HPBHHP	PHHBPH
Gene	Prob_preseq	Pred_preseq	CSite_enzyme	Net_charge	Pos_TOM20	Pos_afhelix	BHHPPP	BPHBHH	HBHHBb	HBHHbB	HHBHHB	HHBPHB	HHBPHH	HHBPHP	HHHBBH	HHHBPH	HHHHBB	HHPBHH	HPBHHP	PHHBPH
CNA00010	0.032	No	21(MPP)	0.000		9-18-low	-	-	-	-	-	-	-	18-23	-	17-22	-	-	-	-
CNA00020	0.000	No	46(MPP)	-0.043		1-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA00030	0.004	No	21(MPP)	0.000		13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA00040	0.007	No	21(MPP)	0.095		20-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA00050	0.016	No	18(MPP)	0.111		7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA00060	0.997	Yes	26(MPP)	0.192		2-13-high	-	-	-	-	-	-	-	-	1-6	-	-	-	-	-
CNA00070	0.284	No	21(MPP)	0.143	9-13	7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA00075	0.023	No	39(MPP), 40(Icp55)	-0.128	62-66	5-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA00080	0.007	No	9(MPP)	0.222		21-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA00090	0.000	No	28(MPP), 36(Oct1)	-0.036	11-15	9-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA00100	0.005	No	60(MPP)	0.017	30-34	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA00110	0.000	No	63(MPP)	-0.048		8-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA00120	0.006	No	29(MPP), 30(Icp55)	0.000	14-18,26-30,34-38	21-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA00130	0.071	No	34(MPP)	0.059	31-35,70-74,89-93	1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA00140	0.000	No	56(MPP)	-0.143		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA00150	0.000	No	72(MPP)	-0.014		12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA00160	0.044	No	8(MPP)	0.500		10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA00170	0.000	No	23(MPP)	0.043	29-33	5-15-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA00180	0.000	No	82(MPP)	0.012		12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA00190	0.981	Yes	30(MPP), 38(Oct1)	0.200	42-46	9-18-high	-	-	-	-	-	-	-	9-14	-	8-13	-	-	-	-
CNA00200	0.000	No	62(MPP)	0.065		10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA00210	0.000	No	31(MPP)	-0.194		11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA00220	0.003	No	38(MPP), 39(Icp55)	0.079		11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA00225	0.102	No	15(MPP), 23(Oct1)	0.133	61-65	14-23-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA00230	0.010	No	30(MPP)	0.200	53-57	21-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA00240	0.273	No	42(MPP)	0.095	91-95	13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA00250	0.008	No	24(MPP)	0.000		12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA00260	0.000	No	76(MPP)	-0.053		7-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA00270	0.000	No	59(MPP)	-0.102	56-60	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA00280	0.050	No	10(MPP)	0.300	7-11	2-11-high	-	-	-	-	-	-	-	-	-	-	10-15	-	-	-
CNA00290	0.000	No	9(MPP)	0.000	52-56	4-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA00300	0.000	No	58(MPP)	0.069	64-68	8-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA00310	0.027	No	55(MPP)	0.000	65-69	5-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CNA00320	0.000	No	37(MPP)	0.000		21-30-high	-	-	-	-	-	-	-	24-29	-	-	-	-	-	23-28
CNA00330	0.004	No	14(MPP)	0.071		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-
