Sequence ID	Probability of presequence	Prediction	Cleavage site (processing enzyme)	Net charge	Positions for TOM20 recognition motif (deliminated by comma)	Position of amphypathic alpha-helix	BHHPPP	BPHBHH	HBHHBb	HBHHbB	HHBHHB	HHBPHB	HHBPHH	HHBPHP	HHHBBH	HHHBPH	HHHHBB	HHPBHH	HPBHHP	PHHBPH
CNAG_00002 Protein	0.021	No mitochondrial presequence	17(MPP)	0.176		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00003 Protein	0.000	No mitochondrial presequence	30(MPP)	-0.033		1-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00004 Protein	0.000	No mitochondrial presequence	29(MPP)	0.000		17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00005 Protein	0.000	No mitochondrial presequence	65(MPP)	-0.046	14-18,62-66,65-69,91-95	5-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00006 Protein	0.167	No mitochondrial presequence	21(MPP)	0.143	9-13	7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00007 Protein	0.998	Possessing mitochondrial presequence	26(MPP)	0.154	3-7	2-13-high	-	-	-	-	-	-	-	-	1-6	-	-	-	-	-	
CNAG_00008 Protein	0.013	No mitochondrial presequence	18(MPP)	0.111		7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00009 Protein	0.011	No mitochondrial presequence	21(MPP)	0.095		20-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00010 Protein	0.005	No mitochondrial presequence	21(MPP)	0.048		13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00011 Protein	0.000	No mitochondrial presequence	46(MPP)	-0.022		3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00012 Protein	0.000	No mitochondrial presequence	32(MPP)	-0.031		15-24-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00013 Protein	0.000	No mitochondrial presequence	15(MPP)	0.267		18-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00014 Protein	0.000	No mitochondrial presequence	30(MPP)	-0.067	43-47,64-68	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00015 Protein	0.032	No mitochondrial presequence	6(MPP)	0.167		21-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00016 Protein	0.000	No mitochondrial presequence	28(MPP), 36(Oct1)	-0.036	11-15	9-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00017 Protein	0.014	No mitochondrial presequence	78(MPP)	0.051		8-17-high	-	-	-	-	-	-	12-17	-	-	-	-	-	-	11-16	
CNAG_00018 Protein	0.000	No mitochondrial presequence	62(MPP)	-0.048		4-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00019 Protein	0.006	No mitochondrial presequence	29(MPP), 30(Icp55)	0.000	14-18,26-30,34-38	21-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00020 Protein	0.071	No mitochondrial presequence	34(MPP)	0.088	70-74,85-89,89-93	1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00021 Protein	0.000	No mitochondrial presequence	56(MPP)	-0.125		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00022 Protein	0.000	No mitochondrial presequence	72(MPP)	0.000		10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00023 Protein	0.074	No mitochondrial presequence	27(MPP)	0.037		3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00024 Protein	0.000	No mitochondrial presequence	25(MPP)	0.120	29-33	5-15-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00025 Protein	0.000	No mitochondrial presequence	29(MPP)	-0.103		13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00026 Protein	0.878	Possessing mitochondrial presequence	30(MPP), 38(Oct1)	0.167	42-46	9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00027 Protein	0.000	No mitochondrial presequence	62(MPP)	0.065		19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00028 Protein	0.000	No mitochondrial presequence	39(MPP)	-0.154		12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00029 Protein	0.000	No mitochondrial presequence	38(MPP), 39(Icp55)	0.053		11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00030 Protein	0.063	No mitochondrial presequence	15(MPP), 23(Oct1)	0.133	61-65	16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00031 Protein	0.022	No mitochondrial presequence	30(MPP)	0.167		6-15-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00032 Protein	0.284	No mitochondrial presequence	42(MPP)	0.095	91-95	13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00034 Protein	0.007	No mitochondrial presequence	24(MPP)	0.000		12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00035 Protein	0.000	No mitochondrial presequence	10(MPP)	0.100		18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00036 Protein	0.000	No mitochondrial presequence	59(MPP)	-0.085	56-60	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
