pub_og_id	og_name	level_taxid	organism_taxid	organism_name	int_prot_id	pub_gene_id	description
EOG092C32CL	Aminoacyl-tRNA synthetase, class II	4751	72359	Trachipleistophora hominis	72359:00014f	L7JX77	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C32CL	Aminoacyl-tRNA synthetase, class II	4751	214684	Cryptococcus neoformans var. neoformans JEC21	214684:0003a3	Q5KMU3	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C32CL	Aminoacyl-tRNA synthetase, class II	4751	222929	Coccidioides posadasii C735 delta SOWgp	222929:000654	C5P8A6	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C32CL	Aminoacyl-tRNA synthetase, class II	4751	222929	Coccidioides posadasii C735 delta SOWgp	222929:000623	C5PFM6	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C32CL	Aminoacyl-tRNA synthetase, class II	4751	227321	Aspergillus nidulans FGSC A4	227321:0011d4	Q5B1B8	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C32CL	Aminoacyl-tRNA synthetase, class II	4751	227321	Aspergillus nidulans FGSC A4	227321:000bd8	Q5BEU4	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C32CL	Aminoacyl-tRNA synthetase, class II	4751	229533	Fusarium graminearum PH-1	229533:0025d9	I1RB44	Aminoacyl-tRNA synthetase, class II
EOG092C32CL	Aminoacyl-tRNA synthetase, class II	4751	229533	Fusarium graminearum PH-1	229533:0002e9	I1RCD8	Aminoacyl-tRNA synthetase, class II
EOG092C32CL	Aminoacyl-tRNA synthetase, class II	4751	235443	Cryptococcus neoformans var. grubii H99	235443:0004a6	J9VMY1	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C32CL	Aminoacyl-tRNA synthetase, class II	4751	237561	Candida albicans SC5314	237561:00160e	THS1	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
