# scores_kozak_Ca.txt
# Scores of ATG context against Kozak sequence, Candida albicans
# Kozak sequence derived from 400 highest-translated genes by RPF
#
# Gene: Ca systematic gene name
# aATG.scorekn: score of annotated ATG against narrow Kozak sequence (NNNNATG)
# d1.scorekn: score of 1st downstream ATG against narrow
# xx.scorekw: analogous scores against wide Kozak sequence (NNNNNNNNNNATG)
#
# Edward Wallace, Oct 2018
Gene	aATG.scorekn	d1.scorekn	aATG.scorekw	d1.scorekw	d1vsan	d1vsaw
C1_00010W_A	0.925	0.831	0.923	0.757	-0.093	-0.166
C1_00020C_A	0.775	0.825	0.709	0.716	0.05	0.007
C1_00030C_A	0.821	0.76	0.819	NA	-0.061	NA
C1_00040W_A	0.943	0.91	0.851	0.882	-0.033	0.032
C1_00050C_A	0.825	0.917	0.82	0.92	0.092	0.1
C1_00060W_A	0.759	0.7	0.733	0.633	-0.06	-0.101
C1_00070W_A	0.877	0.854	0.824	0.747	-0.023	-0.078
C1_00080C_A	0.659	0.867	0.622	0.751	0.207	0.128
C1_00090W_A	0.752	0.902	0.692	0.882	0.15	0.19
C1_00100C_A	0.824	0.848	0.731	0.818	0.025	0.088
C1_00110W_A	0.887	0.841	0.809	0.826	-0.046	0.018
C1_00120C_A	0.816	0.912	0.802	0.85	0.096	0.048
C1_00130C_A	0.888	0.747	0.824	0.643	-0.141	-0.181
C1_00140W_A	0.811	0.841	0.861	0.761	0.03	-0.1
C1_00150C_A	0.88	0.733	0.824	0.746	-0.147	-0.078
C1_00160C_A	0.855	0.862	0.877	0.795	0.006	-0.082
C1_00170W_A	0.948	0.95	0.907	0.914	0.002	0.008
C1_00180W_A	0.967	0.82	0.948	0.766	-0.147	-0.183
C1_00190C_A	0.894	0.798	0.87	0.809	-0.096	-0.061
C1_00200C_A	0.783	0.803	0.791	0.793	0.02	0.002
C1_00210C_A	0.912	0.948	0.841	0.89	0.036	0.05
C1_00220W_A	0.828	0.998	0.792	0.933	0.17	0.142
C1_00230C_A	0.827	0.78	0.845	0.744	-0.047	-0.102
C1_00270W_A	0.952	0.799	0.866	NA	-0.153	NA
C1_00290W_A	0.87	0.767	0.802	NA	-0.103	NA
C1_00310W_A	0.914	0.843	0.837	0.815	-0.07	-0.022
C1_00320W_A	0.894	0.807	0.84	0.763	-0.087	-0.077
C1_00330C_A	0.968	0.942	0.914	0.864	-0.027	-0.049
C1_00340W_A	0.916	0.967	0.857	NA	0.05	NA
C1_00350C_A	0.918	0.913	0.891	0.856	-0.005	-0.034
C1_00360W_A	0.967	0.888	0.882	0.826	-0.078	-0.056
C1_00370W_A	0.81	1	0.785	0.972	0.19	0.187
C1_00380C_A	0.94	0.829	0.858	0.832	-0.111	-0.026
C1_00390W_A	0.879	0.827	0.878	0.848	-0.052	-0.03
C1_00400W_A	0.959	0.833	0.903	NA	-0.126	NA
C1_00410C_A	1	0.82	0.857	0.818	-0.18	-0.039
C1_00420W_A	0.967	0.765	0.912	0.78	-0.201	-0.131
C1_00430W_A	0.945	0.918	0.885	0.875	-0.027	-0.01
C1_00440W_A	0.998	0.83	0.939	0.728	-0.168	-0.211
C1_00450C_A	0.936	0.803	0.899	0.725	-0.133	-0.174
C1_00460W_A	0.878	0.954	0.875	0.958	0.076	0.083
C1_00470C_A	0.801	0.784	0.8	0.805	-0.016	0.005
C1_00480C_A	0.998	0.855	0.95	0.767	-0.143	-0.183
C1_00490C_A	0.774	0.998	0.775	0.968	0.225	0.193
C1_00500C_A	0.991	0.926	0.905	0.912	-0.065	0.007
C1_00510W_A	0.94	0.847	0.846	0.715	-0.092	-0.131
C1_00520W_A	0.843	0.87	0.863	0.829	0.027	-0.034
C1_00530C_A	0.921	0.746	0.881	NA	-0.175	NA
C1_00540C_A	0.954	0.905	0.871	0.793	-0.049	-0.078
C1_00550W_A	0.977	0.801	0.954	0.782	-0.175	-0.172
C1_00560W_A	0.998	0.782	0.961	0.766	-0.216	-0.195
C1_00570C_A	0.991	0.94	0.874	0.821	-0.051	-0.053
C1_00580W_A	0.853	0.862	0.815	0.766	0.008	-0.049
C1_00590W_A	0.855	0.825	0.853	0.822	-0.03	-0.032
C1_00600W_A	0.843	0.824	0.836	0.786	-0.019	-0.05
C1_00610W_A	0.914	0.783	0.886	0.754	-0.131	-0.132
C1_00620W_A	0.793	0.824	0.829	0.82	0.03	-0.009
C1_00630W_A	0.943	0.843	0.858	0.775	-0.101	-0.083
C1_00640C_A	0.912	0.782	0.877	0.732	-0.129	-0.145
C1_00650C_A	0.968	0.803	0.923	0.759	-0.166	-0.165
C1_00660C_A	0.803	0.91	0.716	0.83	0.107	0.114
C1_00670C_A	0.816	0.843	0.777	0.853	0.027	0.076
C1_00680W_A	0.856	0.952	0.804	0.915	0.096	0.111
C1_00690W_A	0.975	0.791	0.932	0.695	-0.184	-0.237
C1_00700W_A	0.968	0.912	0.894	0.919	-0.056	0.025
C1_00710C_A	0.94	0.791	0.885	0.75	-0.149	-0.136
C1_00730C_A	0.936	0.991	0.9	0.971	0.055	0.07
C1_00740C_A	0.844	0.914	0.81	0.929	0.069	0.119
C1_00750C_A	0.886	0.793	0.851	0.752	-0.094	-0.1
C1_00760W_A	0.784	0.882	0.765	0.848	0.098	0.083
C1_00770C_A	0.909	0.741	0.906	0.799	-0.168	-0.107
C1_00780C_A	0.991	0.775	0.975	0.761	-0.216	-0.214
C1_00790W_A	0.895	0.905	0.904	0.794	0.009	-0.111
C1_00800C_A	0.932	0.775	0.859	0.755	-0.158	-0.105
C1_00810W_A	0.781	0.959	0.713	0.927	0.178	0.214
C1_00820W_A	0.844	0.977	0.78	0.944	0.132	0.164
C1_00830W_A	0.936	0.783	0.903	NA	-0.153	NA
