Gene_name	Type	Sample	Inct.narr	Inct.wide	Nxct.narr	Nxct.wide	Upct.narr	Upct.wide	ORFct	UTR5ct	ORFlen	UTR5len	UTR5Ct
CNAG_00002	RPF	H99r1	3	14	30	76	0	0	1289	1	525	56	NA
CNAG_00003	RPF	H99r1	0	0	0	0	NA	NA	9	NA	1611	37	NA
CNAG_00004	RPF	H99r1	2	10	0	5	2	10	354	82	2064	331	NA
CNAG_00005	RPF	H99r1	2	5	0	7	0	0	506	0	1737	199	NA
CNAG_00006	RPF	H99r1	65	251	39	281	NA	NA	5629	NA	957	40	NA
CNAG_00007	RPF	H99r1	3	7	2	27	NA	NA	1300	NA	1749	85	NA
CNAG_00008	RPF	H99r1	8	36	3	36	NA	NA	1418	NA	3510	60	NA
CNAG_00009	RPF	H99r1	62	98	3	33	NA	NA	2492	NA	1098	59	NA
CNAG_00010	RPF	H99r1	1	2	0	1	0	1	266	90	2970	191	NA
CNAG_00011	RPF	H99r1	1	17	0	4	0	0	435	0	963	76	NA
CNAG_00012	RPF	H99r1	18	36	13	14	NA	NA	2436	NA	1161	97	NA
CNAG_00013	RPF	H99r1	0	0	0	0	0	0	3	51	615	782	NA
CNAG_00014	RPF	H99r1	3	23	0	10	2	4	285	0	1842	108	NA
CNAG_00015	RPF	H99r1	1	5	0	4	3	3	47	1	639	366	NA
CNAG_00016	RPF	H99r1	7	33	43	124	NA	NA	3183	NA	255	112	NA
CNAG_00017	RPF	H99r1	0	0	0	0	0	0	7	32	2361	311	NA
CNAG_00018	RPF	H99r1	15	19	1	3	NA	NA	1841	NA	2391	38	NA
CNAG_00019	RPF	H99r1	122	191	24	507	NA	NA	7851	NA	270	34	NA
CNAG_00020	RPF	H99r1	6	24	6	8	NA	NA	1619	NA	2994	10	NA
CNAG_00021	RPF	H99r1	30	51	19	107	NA	NA	3815	NA	1404	115	NA
CNAG_00022	RPF	H99r1	29	175	2	59	NA	NA	3208	NA	810	37	NA
CNAG_00023	RPF	H99r1	0	0	0	0	1	1	3	2	1086	338	NA
CNAG_00024	RPF	H99r1	9	26	2	28	0	0	1500	0	2160	1160	NA
CNAG_00025	RPF	H99r1	13	15	2	2	0	0	524	0	1800	303	NA
CNAG_00026	RPF	H99r1	8	83	28	140	NA	NA	10015	NA	1311	151	NA
CNAG_00027	RPF	H99r1	1	5	0	2	3	3	322	1	2208	138	NA
CNAG_00028	RPF	H99r1	0	2	0	3	10	24	43	5	1482	239	NA
CNAG_00029	RPF	H99r1	0	1	0	2	0	7	49	5	1074	124	NA
CNAG_00030	RPF	H99r1	0	1	1	4	NA	NA	142	NA	936	35	NA
CNAG_00031	RPF	H99r1	0	5	0	1	NA	NA	347	NA	2442	83	NA
CNAG_00032	RPF	H99r1	0	1	0	0	1	6	22	0	804	172	NA
CNAG_00034	RPF	H99r1	5985	7573	972	3668	NA	NA	115752	NA	576	26	NA
CNAG_00035	RPF	H99r1	0	0	1	3	0	0	42	8	1581	1213	NA
CNAG_00036	RPF	H99r1	2	2	0	1	0	0	91	1	870	421	NA
CNAG_00038	RPF	H99r1	1	35	1	16	0	0	866	0	1098	322	NA
CNAG_00039	RPF	H99r1	1	1	5	6	14	37	1021	33	2445	826	NA
CNAG_00040	RPF	H99r1	20	67	13	112	NA	NA	6217	NA	1644	96	NA
CNAG_00043	RPF	H99r1	5	15	1	6	0	0	588	0	1908	25	NA
CNAG_00044	RPF	H99r1	2	48	9	25	NA	NA	2977	NA	3348	76	NA
CNAG_00045	RPF	H99r1	2	13	0	3	NA	NA	380	NA	1260	73	NA
CNAG_00046	RPF	H99r1	37	356	15	92	NA	NA	7315	NA	1053	43	NA
CNAG_00047	RPF	H99r1	0	2	0	2	NA	NA	67	NA	1371	191	NA
CNAG_00048	RPF	H99r1	0	0	0	0	0	0	4	1	1641	291	NA
CNAG_00049	RPF	H99r1	0	0	0	0	0	0	33	0	978	599	NA
CNAG_00050	RPF	H99r1	4	8	3	8	NA	NA	781	NA	906	180	NA
CNAG_00051	RPF	H99r1	6	8	1	9	8	11	1214	20	4920	1204	NA
CNAG_00052	RPF	H99r1	11	27	9	19	0	0	240	0	285	181	NA
CNAG_00053	RPF	H99r1	0	6	5	17	0	3	118	15	528	168	NA
CNAG_00054	RPF	H99r1	0	0	0	2	NA	NA	15	NA	708	66	NA
CNAG_00055	RPF	H99r1	3	16	14	55	NA	NA	3275	NA	1167	37	NA
CNAG_00056	RPF	H99r1	0	12	5	9	NA	NA	887	NA	2025	129	NA
CNAG_00057	RPF	H99r1	2	16	4	62	NA	NA	3982	NA	1053	118	NA
CNAG_00058	RPF	H99r1	52	105	28	79	NA	NA	12578	NA	1647	58	NA
CNAG_00059	RPF	H99r1	3	18	2	14	NA	NA	458	NA	792	56	NA
CNAG_00060	RPF	H99r1	18	29	0	15	NA	NA	1865	NA	1206	55	NA
CNAG_00061	RPF	H99r1	777	1173	342	1207	NA	NA	44285	NA	1395	94	NA
CNAG_00062	RPF	H99r1	74	152	26	182	NA	NA	8586	NA	1593	45	NA
CNAG_00063	RPF	H99r1	15	53	4	48	NA	NA	770	NA	480	318	NA
CNAG_00064	RPF	H99r1	44	113	17	88	NA	NA	2034	NA	597	121	NA
CNAG_00065	RPF	H99r1	146	1174	4	116	NA	NA	19126	NA	717	73	NA
CNAG_00066	RPF	H99r1	6	39	5	10	2	15	853	1	3855	387	NA
CNAG_00067	RPF	H99r1	32	90	25	472	0	0	3964	1	213	397	NA
CNAG_00068	RPF	H99r1	5	11	1	8	NA	NA	1084	NA	1809	556	NA
CNAG_00069	RPF	H99r1	0	0	0	0	NA	NA	13	NA	954	77	NA
CNAG_00070	RPF	H99r1	0	0	0	0	0	0	231	9	1863	943	NA
CNAG_00072	RPF	H99r1	11	70	4	49	0	0	5008	0	1236	363	NA
CNAG_00073	RPF	H99r1	4	22	12	59	42	58	2928	26	2571	850	NA
CNAG_00074	RPF	H99r1	22	42	14	68	0	0	2755	2	1656	198	NA
CNAG_00075	RPF	H99r1	51	112	7	30	0	4	2912	0	474	81	NA
CNAG_00076	RPF	H99r1	6	7	5	26	NA	NA	761	NA	1716	114	NA
CNAG_00077	RPF	H99r1	4	11	0	7	0	4	879	48	2466	213	NA
CNAG_00078	RPF	H99r1	4	9	0	0	1	14	906	46	3534	274	NA
CNAG_00079	RPF	H99r1	6	25	1	6	2	4	340	4	759	483	NA
CNAG_00080	RPF	H99r1	NA	NA	0	0	NA	NA	NA	NA	1455	-14	NA
CNAG_00081	RPF	H99r1	18	70	3	7	NA	NA	5508	NA	2829	52	NA
CNAG_00082	RPF	H99r1	8	51	1	15	NA	NA	1456	NA	996	42	NA
CNAG_00083	RPF	H99r1	12	19	1	20	3	10	1931	0	2931	77	NA
CNAG_00084	RPF	H99r1	13	118	10	86	0	0	10499	15	2577	608	NA
CNAG_00085	RPF	H99r1	9	99	9	53	NA	NA	2303	NA	627	45	NA
CNAG_00086	RPF	H99r1	3	11	28	57	NA	NA	3726	NA	2067	35	NA
CNAG_00087	RPF	H99r1	2	14	5	25	0	0	1207	1	2049	239	NA
CNAG_00088	RPF	H99r1	56	152	18	308	NA	NA	8087	NA	825	50	NA
CNAG_00089	RPF	H99r1	63	80	18	56	NA	NA	2124	NA	996	90	NA
CNAG_00090	RPF	H99r1	4	35	15	49	NA	NA	1209	NA	1266	100	NA
CNAG_00091	RPF	H99r1	6	42	10	45	0	1	2722	12	1605	286	NA
CNAG_00092	RPF	H99r1	53	189	85	222	NA	NA	6548	NA	354	63	NA
CNAG_00093	RPF	H99r1	9	92	0	7	2	6	1567	0	2241	79	NA
CNAG_00094	RPF	H99r1	0	0	0	3	0	0	47	0	1080	131	NA
CNAG_00095	RPF	H99r1	2	14	3	5	NA	NA	982	NA	3498	28	NA
CNAG_00096	RPF	H99r1	6	15	0	8	NA	NA	493	NA	1566	61	NA
CNAG_00097	RPF	H99r1	0	1	0	3	0	4	95	0	1704	48	NA
CNAG_00098	RPF	H99r1	7	17	3	3	NA	NA	308	NA	990	77	NA
CNAG_00099	RPF	H99r1	10	21	0	14	NA	NA	3909	NA	2571	42	NA
CNAG_00100	RPF	H99r1	31	104	57	255	1	8	31148	0	1755	51	NA
CNAG_00101	RPF	H99r1	43	84	13	20	NA	NA	1327	NA	804	9	NA
CNAG_00104	RPF	H99r1	4	78	7	133	NA	NA	13277	NA	3303	201	NA
CNAG_00106	RPF	H99r1	19	76	1	8	0	118	1837	0	3642	368	NA
