pub_og_id	og_name	level_taxid	organism_taxid	organism_name	int_prot_id	pub_gene_id	description
EOG092C0CHR	Isoleucine-tRNA ligase	4751	72359	Trachipleistophora hominis	72359:000a2b	L7JZC2	Aminoacyl-tRNA synthetase, class 1a, anticodon-binding
EOG092C0CHR	Isoleucine-tRNA ligase	4751	214684	Cryptococcus neoformans var. neoformans JEC21	214684:001286	Q5KPM2	Similarity:Belongs to the class-I aminoacyl-tRNA synthetase family.
EOG092C0CHR	Isoleucine-tRNA ligase	4751	222929	Coccidioides posadasii C735 delta SOWgp	222929:000548	C5PA83	Aminoacyl-tRNA synthetase, class 1a, anticodon-binding
EOG092C0CHR	Isoleucine-tRNA ligase	4751	227321	Aspergillus nidulans FGSC A4	227321:0003d1	Q5BFH5	Aminoacyl-tRNA synthetase, class 1a, anticodon-binding
EOG092C0CHR	Isoleucine-tRNA ligase	4751	229533	Fusarium graminearum PH-1	229533:00291b	I1S1V0	Aminoacyl-tRNA synthetase, class 1a, anticodon-binding
EOG092C0CHR	Isoleucine-tRNA ligase	4751	235443	Cryptococcus neoformans var. grubii H99	235443:001b2c	J9VDL3	Similarity:Belongs to the class-I aminoacyl-tRNA synthetase family.
EOG092C0CHR	Isoleucine-tRNA ligase	4751	237561	Candida albicans SC5314	237561:000b39	Q59RI1	Aminoacyl-tRNA synthetase, class 1a, anticodon-binding
EOG092C0CHR	Isoleucine-tRNA ligase	4751	237631	Ustilago maydis 521	237631:00024e	Q4P403	
EOG092C0CHR	Isoleucine-tRNA ligase	4751	240176	Coprinopsis cinerea okayama7#130	240176:0002de	A8N786	Aminoacyl-tRNA synthetase, class 1a, anticodon-binding
EOG092C0CHR	Isoleucine-tRNA ligase	4751	242507	Magnaporthe oryzae 70-15	242507:000932	G4N9Y8	Aminoacyl-tRNA synthetase, class 1a, anticodon-binding
EOG092C0CHR	Isoleucine-tRNA ligase	4751	246409	Rhizopus delemar RA 99-880	246409:000668	I1CG62	Aminoacyl-tRNA synthetase, class 1a, anticodon-binding
EOG092C0CHR	Isoleucine-tRNA ligase	4751	246410	Coccidioides immitis RS	246410:00053e	J3KBJ1	
EOG092C0CHR	Isoleucine-tRNA ligase	4751	283643	Cryptococcus neoformans var. neoformans B-3501A	283643:000e06	F5HFQ4	Similarity:Belongs to the class-I aminoacyl-tRNA synthetase family.
EOG092C0CHR	Isoleucine-tRNA ligase	4751	284590	Kluyveromyces lactis NRRL Y-1140	284590:0003f4	Q6CMG0	Aminoacyl-tRNA synthetase, class 1a, anticodon-binding
EOG092C0CHR	Isoleucine-tRNA ligase	4751	284591	Yarrowia lipolytica CLIB122	284591:0006d0	Q6CIA2	Aminoacyl-tRNA synthetase, class 1a, anticodon-binding
EOG092C0CHR	Isoleucine-tRNA ligase	4751	284592	Debaryomyces hansenii CBS767	284592:00057e	Q6BYW8	Aminoacyl-tRNA synthetase, class 1a, anticodon-binding
EOG092C0CHR	Isoleucine-tRNA ligase	4751	284593	Candida glabrata CBS 138	284593:000628	Q6FTD7	Aminoacyl-tRNA synthetase, class 1a, anticodon-binding
EOG092C0CHR	Isoleucine-tRNA ligase	4751	284811	Eremothecium gossypii ATCC 10895	284811:0003c4	Q755X4	Aminoacyl-tRNA synthetase, class 1a, anticodon-binding
EOG092C0CHR	Isoleucine-tRNA ligase	4751	284812	Schizosaccharomyces pombe 972h-	284812:000c80	irs1	Isoleucyl-tRNA synthetase
EOG092C0CHR	Isoleucine-tRNA ligase	4751	284813	Encephalitozoon cuniculi GB-M1	284813:0000ed	Q8SQV6	Isoleucyl-tRNA synthetase
EOG092C0CHR	Isoleucine-tRNA ligase	4751	285006	Saccharomyces cerevisiae RM11-1a	285006:00055a	B3LNK9	Aminoacyl-tRNA synthetase, class 1a, anticodon-binding
EOG092C0CHR	Isoleucine-tRNA ligase	4751	294746	Meyerozyma guilliermondii ATCC 6260	294746:00020f	A5DFK6	Aminoacyl-tRNA synthetase, class 1a, anticodon-binding
EOG092C0CHR	Isoleucine-tRNA ligase	4751	294747	Candida tropicalis MYA-3404	294747:0001da	C5MI64	Aminoacyl-tRNA synthetase, class 1a, anticodon-binding
EOG092C0CHR	Isoleucine-tRNA ligase	4751	294748	Candida albicans WO-1	294748:0000ff	C4YS70	Aminoacyl-tRNA synthetase, class 1a, anticodon-binding
EOG092C0CHR	Isoleucine-tRNA ligase	4751	306901	Chaetomium globosum CBS 148.51	306901:001246	Q2GUE0	Aminoacyl-tRNA synthetase, class 1a, anticodon-binding
EOG092C0CHR	Isoleucine-tRNA ligase	4751	306901	Chaetomium globosum CBS 148.51	306901:0006db	Q2GUV3	Aminoacyl-tRNA synthetase, class 1a, anticodon-binding
EOG092C0CHR	Isoleucine-tRNA ligase	4751	306902	Clavispora lusitaniae ATCC 42720	306902:00012a	C4Y967	Aminoacyl-tRNA synthetase, class 1a, anticodon-binding
EOG092C0CHR	Isoleucine-tRNA ligase	4751	307796	Saccharomyces cerevisiae YJM789	307796:0005f8	A6ZKM5	Aminoacyl-tRNA synthetase, class 1a, anticodon-binding
EOG092C0CHR	Isoleucine-tRNA ligase	4751	321614	Parastagonospora nodorum SN15	321614:000921	Q0U8S3	Aminoacyl-tRNA synthetase, class 1a, anticodon-binding
EOG092C0CHR	Isoleucine-tRNA ligase	4751	322104	Scheffersomyces stipitis CBS 6054	322104:00065a	A3LTD7	Aminoacyl-tRNA synthetase, class 1a, anticodon-binding
EOG092C0CHR	Isoleucine-tRNA ligase	4751	330879	Aspergillus fumigatus Af293	330879:000a4f	E9QWI4	Aminoacyl-tRNA synthetase, class 1a, anticodon-binding
EOG092C0CHR	Isoleucine-tRNA ligase	4751	331117	Neosartorya fischeri NRRL 181	331117:00091f	A1D247	Aminoacyl-tRNA synthetase, class 1a, anticodon-binding
EOG092C0CHR	Isoleucine-tRNA ligase	4751	332952	Aspergillus flavus NRRL3357	332952:000730	B8N4R2	Aminoacyl-tRNA synthetase, class 1a, anticodon-binding
EOG092C0CHR	Isoleucine-tRNA ligase	4751	336722	Zymoseptoria tritici IPO323	336722:001431	F9WW39	Similarity:Belongs to the class-I aminoacyl-tRNA synthetase family.
EOG092C0CHR	Isoleucine-tRNA ligase	4751	336963	Uncinocarpus reesii 1704	336963:000d70	C4JYG9	Similarity:Belongs to the class-I aminoacyl-tRNA synthetase family.
EOG092C0CHR	Isoleucine-tRNA ligase	4751	339724	Histoplasma capsulatum NAm1	339724:002090	A6R8Q3	Similarity:Belongs to the class-I aminoacyl-tRNA synthetase family.
EOG092C0CHR	Isoleucine-tRNA ligase	4751	341663	Aspergillus terreus NIH2624	341663:000307	Q0D0F5	Aminoacyl-tRNA synthetase, class 1a, anticodon-binding
EOG092C0CHR	Isoleucine-tRNA ligase	4751	344612	Aspergillus clavatus NRRL 1	344612:00038a	A1CP88	Aminoacyl-tRNA synthetase, class 1a, anticodon-binding
EOG092C0CHR	Isoleucine-tRNA ligase	4751	367110	Neurospora crassa OR74A	367110:001ac1	Q1K4T0	Aminoacyl-tRNA synthetase, class 1a, anticodon-binding
EOG092C0CHR	Isoleucine-tRNA ligase	4751	367775	Cryptococcus gattii WM276	367775:000d19	E6R0B2	Similarity:Belongs to the class-I aminoacyl-tRNA synthetase family.
EOG092C0CHR	Isoleucine-tRNA ligase	4751	379508	Lodderomyces elongisporus NRRL YB-4239	379508:0006f0	A5E5E6	Aminoacyl-tRNA synthetase, class 1a, anticodon-binding
EOG092C0CHR	Isoleucine-tRNA ligase	4751	380704	Aspergillus niger ATCC 1015	380704:000409	G3YHM8	Aminoacyl-tRNA synthetase, class 1a, anticodon-binding
EOG092C0CHR	Isoleucine-tRNA ligase	4751	383855	Pseudocercospora fijiensis CIRAD86	383855:002b55	M3B1B5	Similarity:Belongs to the class-I aminoacyl-tRNA synthetase family.
EOG092C0CHR	Isoleucine-tRNA ligase	4751	402676	Schizosaccharomyces japonicus yFS275	402676:0003aa	B6K4I4	Aminoacyl-tRNA synthetase, class 1a, anticodon-binding
EOG092C0CHR	Isoleucine-tRNA ligase	4751	413071	Trichoderma virens Gv29-8	413071:0002e5	G9MGP0	Aminoacyl-tRNA synthetase, class 1a, anticodon-binding
EOG092C0CHR	Isoleucine-tRNA ligase	4751	418459	Puccinia graminis f. sp. tritici CRL 75-36-700-3	418459:000393	E3KG82	Aminoacyl-tRNA synthetase, class 1a, anticodon-binding
EOG092C0CHR	Isoleucine-tRNA ligase	4751	425011	Aspergillus niger CBS 513.88	425011:001179	A2QRP6	Aminoacyl-tRNA synthetase, class 1a, anticodon-binding
EOG092C0CHR	Isoleucine-tRNA ligase	4751	425265	Malassezia globosa CBS 7966	425265:0002aa	A8PYP9	Aminoacyl-tRNA synthetase, class 1a, anticodon-binding
EOG092C0CHR	Isoleucine-tRNA ligase	4751	426418	Pyrenophora tritici-repentis Pt-1C-BFP	426418:0007ab	B2WH10	Aminoacyl-tRNA synthetase, class 1a, anticodon-binding
EOG092C0CHR	Isoleucine-tRNA ligase	4751	426418	Pyrenophora tritici-repentis Pt-1C-BFP	426418:000796	B2VRG7	Aminoacyl-tRNA synthetase, class 1a, anticodon-binding
EOG092C0CHR	Isoleucine-tRNA ligase	4751	426428	Fusarium oxysporum f. sp. lycopersici 4287	426428:000adc	J9NBS3	
EOG092C0CHR	Isoleucine-tRNA ligase	4751	431241	Trichoderma reesei QM6a	431241:0001b9	G0RSA5	Aminoacyl-tRNA synthetase, class 1a, anticodon-binding
