# SacCer_mitofates_parsed.table.txt
# Saccharomyces cerevisiae S288C mitofates predictions from http://mitf.cbrc.jp/MitoFates/
# applied to full-length protein
# Luciana DE OLIVEIRA, 3rd Aug 2018
# 
# Sequence ID	Probability of presequence	Prediction
Gene	Prob_preseq	Pred_preseq
YAL001C	0.000	No
YAL002W	0.007	No
YAL003W	0.000	No
YAL004W	0.000	No
YAL005C	0.000	No
YAL007C	0.000	No
YAL008W	0.898	Yes
YAL009W	0.000	No
YAL010C	0.034	No
YAL011W	0.082	No
YAL012W	0.006	No
YAL013W	0.000	No
YAL014C	0.000	No
YAL015C	0.996	Yes
YAL016C-A	0.000	No
YAL016C-B	0.020	No
YAL016W	0.000	No
YAL017W	0.000	No
YAL018C	0.000	No
YAL019W	0.000	No
YAL019W-A	0.075	No
YAL020C	0.000	No
YAL021C	0.000	No
YAL022C	0.000	No
YAL023C	0.000	No
YAL024C	0.000	No
YAL025C	0.012	No
YAL026C	0.000	No
YAL026C-A	0.370	No
YAL027W	0.017	No
YAL028W	0.000	No
YAL029C	0.000	No
YAL030W	0.000	No
YAL031C	0.004	No
YAL031W-A	0.096	No
YAL032C	0.018	No
YAL033W	0.010	No
YAL034C	0.000	No
YAL034C-B	0.005	No
YAL034W-A	0.000	No
YAL035W	0.000	No
YAL036C	0.017	No
YAL037C-A	0.000	No
YAL037C-B	0.000	No
YAL037W	0.000	No
YAL038W	0.245	No
YAL039C	0.006	No
YAL040C	0.310	No
YAL041W	0.005	No
YAL042C-A	0.010	No
YAL042W	0.038	No
YAL043C	0.000	No
YAL044C	0.994	Yes
YAL044W-A	0.390	Yes
YAL045C	0.009	No
YAL046C	0.928	Yes
YAL047C	0.126	No
YAL047W-A	0.000	No
YAL048C	0.000	No
YAL049C	0.000	No
YAL051W	0.000	No
YAL053W	0.125	No
YAL054C	0.000	No
YAL055W	0.011	No
YAL056C-A	0.079	No
YAL056W	0.000	No
YAL058W	0.006	No
YAL059C-A	0.030	No
YAL059W	0.343	No
