# dvsaATG_highdiffw_inframe_H99.txt
# Genes with in-frame high-score dATGs
# In C. deneoformans H99:
#   - in top 5% by difference, aATG.scorekw - d1.scorekw
#   - in top 50% by RNA abundance
#   - dATG is in frame with aATG
#
# Gene: systematic gene name
# aATG.scorekw: annotated ATG score against wide -10 Kozak consensus sequence
# d1.scorekw: 1st downstream ATG score against wide -10 Kozak consensus sequence
#
# Edward Wallace, Jan 2019
Gene	aATG.scorekw	d1.scorekw
CNAG_04147	0.611	0.929
CNAG_02259	0.641	0.953
CNAG_04764	0.616	0.905
CNAG_07801	0.682	0.945
CNAG_04179	0.691	0.947
CNAG_07776	0.712	0.967
CNAG_07473	0.639	0.893
CNAG_03953	0.687	0.94
CNAG_03486	0.7	0.951
CNAG_05722	0.652	0.901
CNAG_01092	0.632	0.879
CNAG_06353	0.648	0.895
CNAG_01677	0.712	0.959
CNAG_03396	0.602	0.842
CNAG_06236	0.671	0.904
CNAG_00165	0.686	0.919
CNAG_00517	0.692	0.925
CNAG_01544	0.696	0.926
CNAG_02545	0.68	0.904
CNAG_06713	0.749	0.962
CNAG_03269	0.659	0.865
CNAG_00026	0.71	0.914
CNAG_01128	0.76	0.964
CNAG_07664	0.684	0.887
CNAG_02880	0.676	0.877
CNAG_04219	0.748	0.949
CNAG_06446	0.761	0.962
CNAG_05900	0.775	0.975
CNAG_02431	0.712	0.91
CNAG_00409	0.681	0.877
CNAG_04905	0.795	0.989
CNAG_06755	0.648	0.841
CNAG_03753	0.718	0.906
CNAG_00183	0.744	0.931
CNAG_05678	0.672	0.858
CNAG_04017	0.75	0.935
CNAG_07437	0.736	0.917
CNAG_05931	0.627	0.807
CNAG_03996	0.671	0.85
CNAG_06690	0.659	0.837
CNAG_01981	0.716	0.893
CNAG_06000	0.681	0.858
CNAG_03578	0.668	0.843
CNAG_02472	0.69	0.865
CNAG_00997	0.766	0.94
CNAG_02690	0.748	0.922
CNAG_03809	0.68	0.852
CNAG_00013	0.636	0.807
CNAG_07367	0.689	0.859
CNAG_00086	0.729	0.898
CNAG_00401	0.73	0.897
CNAG_04604	0.765	0.927
CNAG_05863	0.722	0.883
CNAG_05917	0.751	0.911
CNAG_00690	0.672	0.828
CNAG_02306	0.717	0.873
CNAG_06051	0.789	0.944
CNAG_05226	0.714	0.868
CNAG_02920	0.744	0.896
CNAG_02131	0.718	0.869
CNAG_00562	0.704	0.855
CNAG_06549	0.719	0.869
CNAG_00166	0.707	0.856
CNAG_07873	0.75	0.896
CNAG_05077	0.712	0.857
CNAG_00589	0.743	0.888
CNAG_03144	0.793	0.937
CNAG_00358	0.666	0.809
CNAG_03949	0.694	0.837
CNAG_04082	0.735	0.876
CNAG_06078	0.767	0.907
CNAG_03722	0.802	0.942
CNAG_00327	0.782	0.92
CNAG_05090	0.751	0.889
CNAG_03682	0.816	0.952
CNAG_06946	0.77	0.905
CNAG_00195	0.769	0.903
CNAG_05643	0.815	0.947
CNAG_02851	0.761	0.89
CNAG_01381	0.746	0.873
CNAG_07749	0.77	0.895
CNAG_03385	0.706	0.83
CNAG_02704	0.694	0.817
CNAG_06774	0.761	0.883
CNAG_03796	0.771	0.893
CNAG_04360	0.768	0.888
CNAG_04584	0.792	0.911
CNAG_00786	0.76	0.877
CNAG_03984	0.662	0.778
CNAG_04005	0.744	0.86
CNAG_03958	0.777	0.891
CNAG_00081	0.737	0.851
CNAG_00304	0.741	0.854
CNAG_03679	0.799	0.912
CNAG_05386	0.686	0.799
CNAG_01188	0.629	0.74
CNAG_02356	0.84	0.951
CNAG_02459	0.793	0.903
CNAG_00063	0.736	0.846
CNAG_00577	0.75	0.859
CNAG_05468	0.755	0.863
CNAG_07354	0.775	0.883
