# dvsaATG_highdiffn_outframe_cc.txt
# Genes with conserved out-of-frame high-score dATGs
# In both H99 and JEC21:
#   - in top 5% by difference, aATG.scorekn - d1.scorekn
#   - in top 50% by RNA abundance
#   - dATG is out of frame with aATG
#
# H99: H99 systematic gene name
# JEC21: JEC21 systematic gene name of ortholog
# a.skn.xx: annotated ATG score against narrow Kozak consensus sequence, strain xx
# d.skn.xx: 1st downstream ATG score against narrow Kozak consensus sequence, strain xx
#
# Edward Wallace, Jan 2019
H99	JEC21	a.skn.H99	d.skn.H99	a.skn.JEC21	d.skn.JEC21
CNAG_06278	CNN00160	0.73	0.99	0.759	0.989
CNAG_04054	CNB05380	0.75	0.978	0.758	0.977
CNAG_02809	CNC04270	0.8	0.978	0.793	0.977
CNAG_03008	CNC06190	0.827	1	0.819	1
CNAG_03370	CNG02120	0.795	0.968	0.786	0.966
CNAG_01667	CNC01780	0.835	0.99	0.828	0.989
CNAG_03190	CNG03790	0.812	0.966	0.809	0.964
CNAG_04896	CNJ03200	0.821	0.975	0.823	0.975
CNAG_02894	CNC05065	0.819	0.978	0.837	0.977
CNAG_02578	CNK00690	0.818	0.944	0.785	0.941
CNAG_01241	CND03590	0.747	0.878	0.749	0.895
CNAG_06899	CNK00290	0.836	0.975	0.845	0.975
CNAG_07780	CNI00090	0.871	1	0.861	1
CNAG_03839	CNB03280	0.817	0.938	0.813	0.94
