# dvsaATG_highdiffw_inframe_Ca.txt
# Genes with in-frame high-score dATGs
# In C. albicans SC5314:
#   - in top 5% by difference, aATG.scorekw - d1.scorekw
#   - in top 50% by mRNA abundance
#   - dATG is in frame with aATG
#
# Gene: systematic gene name
# aATG.scorekw: annotated ATG score against narrow Kozak consensus sequence, strain xx
# d1.scorekw: 1st downstream ATG score against narrow Kozak consensus sequence, strain xx
#
# Edward Wallace, Jan 2019
Gene	aATG.scorekw	d1.scorekw
CR_09580C_A	0.682	0.937
C4_02340W_A	0.759	0.99
C3_03790W_A	0.729	0.957
C6_03820C_A	0.711	0.931
C1_00810W_A	0.713	0.927
C2_09260C_A	0.711	0.909
C1_00490C_A	0.775	0.968
C6_02350C_A	0.67	0.86
C1_05300C_A	0.73	0.915
C3_03940C_A	0.793	0.974
C5_00840W_A	0.746	0.926
C1_07700C_A	0.715	0.894
C1_10030W_A	0.731	0.906
C6_02410W_A	0.709	0.88
C3_05300C_A	0.6	0.771
C5_04610W_A	0.706	0.874
C7_02460C_A	0.72	0.884
CR_04590C_A	0.758	0.922
C2_03930C_A	0.653	0.812
C6_00110C_A	0.767	0.924
C4_01710C_A	0.718	0.869
C6_01590W_A	0.787	0.938
CR_04300W_A	0.804	0.953
C3_06490W_A	0.796	0.938
CR_00080W_A	0.717	0.849
CR_10470C_A	0.784	0.916
C2_03450W_A	0.794	0.921
C5_01940W_A	0.663	0.787
CR_08100C_A	0.76	0.883
C2_06640C_A	0.776	0.897
C5_02660C_A	0.733	0.854
C5_01520C_A	0.806	0.921
C4_05550C_A	0.81	0.925
CR_02540W_A	0.777	0.887
CR_01550C_A	0.814	0.923
CR_10040W_A	0.805	0.911
C1_14590C_A	0.75	0.855
C7_04340C_A	0.75	0.855
C1_08060W_A	0.779	0.882
C2_07940C_A	0.771	0.872
C3_00830C_A	0.742	0.842
C1_06770W_A	0.813	0.91
C6_00600C_A	0.843	0.94
C6_04110W_A	0.742	0.839
CR_06820W_A	0.813	0.903
CR_01060W_A	0.87	0.961
C5_04840C_A	0.794	0.884
