pub_og_id	og_name	level_taxid	organism_taxid	organism_name	int_prot_id	pub_gene_id	description
EOG092C0PFH	Glutamyl/glutaminyl-tRNA synthetase	4751	72359	Trachipleistophora hominis	72359:000459	L7JR39	Aminoacyl-tRNA synthetase, class I, conserved site
EOG092C0PFH	Glutamyl/glutaminyl-tRNA synthetase	4751	214684	Cryptococcus neoformans var. neoformans JEC21	214684:0013c2	Q5KQ22	Similarity:Belongs to the class-I aminoacyl-tRNA synthetase family.
EOG092C0PFH	Glutamyl/glutaminyl-tRNA synthetase	4751	222929	Coccidioides posadasii C735 delta SOWgp	222929:001485	C5PF72	Similarity:Belongs to the class-I aminoacyl-tRNA synthetase family.
EOG092C0PFH	Glutamyl/glutaminyl-tRNA synthetase	4751	226230	Saccharomyces kudriavzevii IFO 1802	226230:0004bd	YOR168W	Similarity:Belongs to the class-I aminoacyl-tRNA synthetase family.
EOG092C0PFH	Glutamyl/glutaminyl-tRNA synthetase	4751	227321	Aspergillus nidulans FGSC A4	227321:00064d	Q5ARC3	Similarity:Belongs to the class-I aminoacyl-tRNA synthetase family.
EOG092C0PFH	Glutamyl/glutaminyl-tRNA synthetase	4751	235443	Cryptococcus neoformans var. grubii H99	235443:001a1e	J9VFU1	Similarity:Belongs to the class-I aminoacyl-tRNA synthetase family.
EOG092C0PFH	Glutamyl/glutaminyl-tRNA synthetase	4751	237561	Candida albicans SC5314	237561:0017fe	GLN4	Similarity:Belongs to the class-I aminoacyl-tRNA synthetase family.
EOG092C0PFH	Glutamyl/glutaminyl-tRNA synthetase	4751	237631	Ustilago maydis 521	237631:000d0a	Q4P438	
EOG092C0PFH	Glutamyl/glutaminyl-tRNA synthetase	4751	240176	Coprinopsis cinerea okayama7#130	240176:002bbf	A8NYM0	Glutamine-tRNA synthetase
EOG092C0PFH	Glutamyl/glutaminyl-tRNA synthetase	4751	242507	Magnaporthe oryzae 70-15	242507:000b3a	G4NHZ1	Similarity:Belongs to the class-I aminoacyl-tRNA synthetase family.
EOG092C0PFH	Glutamyl/glutaminyl-tRNA synthetase	4751	246409	Rhizopus delemar RA 99-880	246409:0013cb	I1CEB6	Similarity:Belongs to the class-I aminoacyl-tRNA synthetase family.
EOG092C0PFH	Glutamyl/glutaminyl-tRNA synthetase	4751	246410	Coccidioides immitis RS	246410:001987	J3KG86	
EOG092C0PFH	Glutamyl/glutaminyl-tRNA synthetase	4751	283643	Cryptococcus neoformans var. neoformans B-3501A	283643:0006bf	F5HDU3	Similarity:Belongs to the class-I aminoacyl-tRNA synthetase family.
EOG092C0PFH	Glutamyl/glutaminyl-tRNA synthetase	4751	284590	Kluyveromyces lactis NRRL Y-1140	284590:000f22	Q6CJ91	Similarity:Belongs to the class-I aminoacyl-tRNA synthetase family.
EOG092C0PFH	Glutamyl/glutaminyl-tRNA synthetase	4751	284591	Yarrowia lipolytica CLIB122	284591:0017a9	Q6CD53	Similarity:Belongs to the class-I aminoacyl-tRNA synthetase family.
EOG092C0PFH	Glutamyl/glutaminyl-tRNA synthetase	4751	284592	Debaryomyces hansenii CBS767	284592:000c83	Q6BKD6	Similarity:Belongs to the class-I aminoacyl-tRNA synthetase family.
EOG092C0PFH	Glutamyl/glutaminyl-tRNA synthetase	4751	284593	Candida glabrata CBS 138	284593:000c55	Q6FLC2	Similarity:Belongs to the class-I aminoacyl-tRNA synthetase family.
EOG092C0PFH	Glutamyl/glutaminyl-tRNA synthetase	4751	284811	Eremothecium gossypii ATCC 10895	284811:000c60	Q74ZE0	Similarity:Belongs to the class-I aminoacyl-tRNA synthetase family.
EOG092C0PFH	Glutamyl/glutaminyl-tRNA synthetase	4751	284812	Schizosaccharomyces pombe 972h-	284812:000c8f	qrs1	Glutaminyl-tRNA synthetase
EOG092C0PFH	Glutamyl/glutaminyl-tRNA synthetase	4751	284813	Encephalitozoon cuniculi GB-M1	284813:0000f3	Q8SR10	Glutaminyl-tRNA synthetase
EOG092C0PFH	Glutamyl/glutaminyl-tRNA synthetase	4751	285006	Saccharomyces cerevisiae RM11-1a	285006:0014df	B3LJK1	Similarity:Belongs to the class-I aminoacyl-tRNA synthetase family.
EOG092C0PFH	Glutamyl/glutaminyl-tRNA synthetase	4751	294746	Meyerozyma guilliermondii ATCC 6260	294746:0010ea	A5DAV1	Similarity:Belongs to the class-I aminoacyl-tRNA synthetase family.
EOG092C0PFH	Glutamyl/glutaminyl-tRNA synthetase	4751	294747	Candida tropicalis MYA-3404	294747:00110b	C5MG47	Similarity:Belongs to the class-I aminoacyl-tRNA synthetase family.
EOG092C0PFH	Glutamyl/glutaminyl-tRNA synthetase	4751	294748	Candida albicans WO-1	294748:0008ee	C4YTC4	Similarity:Belongs to the class-I aminoacyl-tRNA synthetase family.
EOG092C0PFH	Glutamyl/glutaminyl-tRNA synthetase	4751	306901	Chaetomium globosum CBS 148.51	306901:0008e5	Q2GZS5	Similarity:Belongs to the class-I aminoacyl-tRNA synthetase family.
EOG092C0PFH	Glutamyl/glutaminyl-tRNA synthetase	4751	306902	Clavispora lusitaniae ATCC 42720	306902:000ee9	C4Y897	Similarity:Belongs to the class-I aminoacyl-tRNA synthetase family.
EOG092C0PFH	Glutamyl/glutaminyl-tRNA synthetase	4751	307796	Saccharomyces cerevisiae YJM789	307796:001116	GLN4	Similarity:Belongs to the class-I aminoacyl-tRNA synthetase family.
EOG092C0PFH	Glutamyl/glutaminyl-tRNA synthetase	4751	321614	Parastagonospora nodorum SN15	321614:001d9a	Q0UQW6	Similarity:Belongs to the class-I aminoacyl-tRNA synthetase family.
EOG092C0PFH	Glutamyl/glutaminyl-tRNA synthetase	4751	322104	Scheffersomyces stipitis CBS 6054	322104:000731	GLN4	Similarity:Belongs to the class-I aminoacyl-tRNA synthetase family.
EOG092C0PFH	Glutamyl/glutaminyl-tRNA synthetase	4751	330879	Aspergillus fumigatus Af293	330879:000967	Q4WIG6	Similarity:Belongs to the class-I aminoacyl-tRNA synthetase family.
EOG092C0PFH	Glutamyl/glutaminyl-tRNA synthetase	4751	331117	Neosartorya fischeri NRRL 181	331117:000590	A1CYP1	Similarity:Belongs to the class-I aminoacyl-tRNA synthetase family.
EOG092C0PFH	Glutamyl/glutaminyl-tRNA synthetase	4751	332952	Aspergillus flavus NRRL3357	332952:001d12	B8NEF6	Similarity:Belongs to the class-I aminoacyl-tRNA synthetase family.
