# dvsaATG_highdiffw_inframe_Hc.txt
# Genes with in-frame high-score dATGs
# In H. capsulatum G217B:
#   - in top 5% by difference, aATG.scorekw - d1.scorekw
#   - in top 50% by RNA abundance
#   - dATG is in frame with aATG
#
# Gene: systematic gene name
# aATG.scorekw: annotated ATG score against wide Kozak consensus sequence
# d1.scorekw: 1st downstream ATG score against wide Kozak consensus sequence
#
# Edward Wallace, Dec 2018
Gene	aATG.scorekw	d1.scorekw
HISTO_JG.Contig206.eannot.1530.final_new	0.758	0.985
HISTO_BP.Contig459.eannot.1499.final_new	0.764	0.963
HISTO_ZL.Contig1161d-snap.42.final_new	0.655	0.848
HISTO_GY.Contig460.eannot.1766.final_new	0.713	0.905
HISTO_ZL.Contig1161b.fgenesh_plus.39.final_new	0.749	0.935
HISTO_ZT.Contig1128f.eannot.1131.final_new	0.725	0.91
HISTO_DF.Contig537.eannot.1394.final_new	0.709	0.89
HISTO_ZY.Contig518.eannot.1158.final_new	0.766	0.944
HISTO_ZU.Contig65.eannot.2107.final_new	0.776	0.953
HISTO_AZ.Contig47.eannot.1598.final_new	0.791	0.968
HISTO_GL.Contig233.eannot.1167.final_new	0.764	0.939
HISTO_ZL.Contig1161d.eannot.1418.final_new	0.752	0.923
HISTO_AL.Contig317-snap.27.final_new	0.793	0.962
HISTO_DM.Contig933-snap.124.final_new	0.747	0.914
HISTO_EA.Contig33.eannot.1524.final_new	0.775	0.94
HISTO_FE.Contig19.eannot.1726.final_new	0.807	0.97
HISTO_LF.Contig359.eannot.2090.final_new	0.765	0.925
HISTO_DF.Contig537.eannot.1398.final_new	0.798	0.957
HISTO_DF.Contig537.eannot.1334.final_new	0.711	0.869
HISTO_ZE.Contig158.Fgenesh_Aspergillus.75.final_new	0.812	0.97
HISTO_ZU.Contig65.eannot.2055.final_new	0.801	0.958
HISTO_DA.Contig93.eannot.2098.final_new	0.737	0.89
HISTO_LG.Contig392.eannot.1763.final_new	0.75	0.902
HISTO_JG.Contig207.eannot.1399.final_new	0.788	0.938
HISTO_KF.Contig597.eannot.1395.final_new	0.81	0.957
HISTO_LF.Contig359.eannot.1926.final_new	0.818	0.964
HISTO_DF.Contig537.eannot.1403.final_new	0.776	0.921
HISTO_JG.Contig206.eannot.1555.final_new	0.826	0.97
HISTO_DA.Contig93.eannot.1987.final_new	0.777	0.92
HISTO_ZL.Contig1161c.eannot.1514.final_new	0.769	0.912
HISTO_GX.Contig297.eannot.1521.final_new	0.796	0.939
HISTO_ZL.Contig1161e-snap.18.final_new	0.784	0.926
HISTO_DU.Contig190.eannot.1260.final_new	0.751	0.889
HISTO_ZT.Contig1128f.eannot.1125.final_new	0.7	0.837
HISTO_LF.Contig359-snap.130.final_new	0.815	0.949
HISTO_ZL.Contig658.eannot.1292.final_new	0.757	0.891
HISTO_ZL.Contig1161d.Fgenesh_histo.113.final_new	0.779	0.908
HISTO_JG.Contig206.eannot.1494.final_new	0.758	0.886
HISTO_ZL.Contig1131.eannot.2098.final_new	0.75	0.877
HISTO_GL.Contig296.Fgenesh_histo.128.final_new	0.824	0.95
HISTO_ZL.Contig1158-snap.32.final_new	0.749	0.874
HISTO_BP.Contig459.eannot.1486.final_new	0.749	0.874
HISTO_DM.Contig93.fgenesh_plus.139.final_new	0.811	0.935
HISTO_ZE.Contig149-snap.30.final_new	0.763	0.886
HISTO_HS.Contig68.eannot.1977.final_new	0.811	0.933
HISTO_DY.Contig31.Fgenesh_Neurospora.67.final_new	0.819	0.939
HISTO_LF.Contig359.Fgenesh_histo.175.final_new	0.737	0.854
HISTO_GY.Contig460-snap.130.final_new	0.777	0.894
HISTO_ZT.Contig1089.Fgenesh_histo.164.final_new	0.777	0.894
HISTO_ZL.Contig658.eannot.1225.final_new	0.755	0.871
HISTO_KF.Contig597.Fgenesh_histo.59.final_new	0.841	0.956
HISTO_DM.Contig940.Fgenesh_histo.67.final_new	0.834	0.949
HISTO_ZL.Contig1161e.eannot.1300.final_new	0.796	0.911
HISTO_ZT.Contig181.eannot.1585.final_new	0.792	0.906
HISTO_ZY.Contig518.eannot.1183.final_new	0.806	0.919
HISTO_EA.Contig33-snap.50.final_new	0.789	0.901
HISTO_BP.Contig457.eannot.1663.final_new	0.791	0.903
HISTO_ZZ.Contig127c-snap.18.final_new	0.838	0.949
HISTO_DM.Contig933.eannot.1584.final_new	0.798	0.909
HISTO_LF.Contig359-snap.25.final_new	0.757	0.867
HISTO_LG.Contig392.eannot.1760.final_new	0.774	0.883
HISTO_DA.Contig93.eannot.2144.final_new	0.773	0.883
HISTO_KF.Contig601.eannot.1300.final_new	0.781	0.89
HISTO_JG.Contig206.eannot.1522.final_new	0.757	0.865
HISTO_ZZ.Contig127c-snap.127.final_new	0.763	0.87
HISTO_ZZ.Contig127c.Fgenesh_histo.116.final_new	0.838	0.943
HISTO_ZL.Contig1161d.eannot.1501.final_new	0.852	0.956
HISTO_GX.Contig297.fgenesh_plus.53.final_new	0.792	0.897
HISTO_BI.Contig285.eannot.1099.final_new	0.751	0.855
HISTO_JG.Contig207.eannot.1367.final_new	0.81	0.914
HISTO_ZY.Contig518.eannot.1185.final_new	0.85	0.951
HISTO_ZL.Contig1161d.Fgenesh_histo.62.final_new	0.796	0.898
HISTO_LG.Contig392-snap.148.final_new	0.812	0.911
HISTO_ZL.Contig1131.fgenesh_plus.91.final_new	0.864	0.963
