pub_og_id	og_name	level_taxid	organism_taxid	organism_name	int_prot_id	pub_gene_id	description
EOG092C04LM	Aminoacyl-tRNA synthetase, class II	4751	72359	Trachipleistophora hominis	72359:000c2e	L7JSJ8	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C04LM	Aminoacyl-tRNA synthetase, class II	4751	214684	Cryptococcus neoformans var. neoformans JEC21	214684:000d8e	Q5KEI6	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C04LM	Aminoacyl-tRNA synthetase, class II	4751	214684	Cryptococcus neoformans var. neoformans JEC21	214684:000ab9	Q5KHJ1	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C04LM	Aminoacyl-tRNA synthetase, class II	4751	222929	Coccidioides posadasii C735 delta SOWgp	222929:0011d2	C5PFI9	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C04LM	Aminoacyl-tRNA synthetase, class II	4751	222929	Coccidioides posadasii C735 delta SOWgp	222929:000a82	C5P160	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C04LM	Aminoacyl-tRNA synthetase, class II	4751	227321	Aspergillus nidulans FGSC A4	227321:000722	Q5B4I0	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C04LM	Aminoacyl-tRNA synthetase, class II	4751	227321	Aspergillus nidulans FGSC A4	227321:0006b4	Q5BGL6	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C04LM	Aminoacyl-tRNA synthetase, class II	4751	229533	Fusarium graminearum PH-1	229533:0012ea	I1RKY2	Aminoacyl-tRNA synthetase, class II
EOG092C04LM	Aminoacyl-tRNA synthetase, class II	4751	229533	Fusarium graminearum PH-1	229533:000ded	I1RE94	Aminoacyl-tRNA synthetase, class II
EOG092C04LM	Aminoacyl-tRNA synthetase, class II	4751	235443	Cryptococcus neoformans var. grubii H99	235443:001a29	J9VMF7	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C04LM	Aminoacyl-tRNA synthetase, class II	4751	235443	Cryptococcus neoformans var. grubii H99	235443:001825	J9VQN2	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C04LM	Aminoacyl-tRNA synthetase, class II	4751	237561	Candida albicans SC5314	237561:000418	DPS1-1	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C04LM	Aminoacyl-tRNA synthetase, class II	4751	237631	Ustilago maydis 521	237631:001106	Q4PDA4	
EOG092C04LM	Aminoacyl-tRNA synthetase, class II	4751	237631	Ustilago maydis 521	237631:000d61	Q4P6J3	
EOG092C04LM	Aminoacyl-tRNA synthetase, class II	4751	240176	Coprinopsis cinerea okayama7#130	240176:001425	A8N1I3	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C04LM	Aminoacyl-tRNA synthetase, class II	4751	242507	Magnaporthe oryzae 70-15	242507:00284c	G4NLR3	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C04LM	Aminoacyl-tRNA synthetase, class II	4751	242507	Magnaporthe oryzae 70-15	242507:001863	G4MRB6	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C04LM	Aminoacyl-tRNA synthetase, class II	4751	246409	Rhizopus delemar RA 99-880	246409:00242d	I1BUN4	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C04LM	Aminoacyl-tRNA synthetase, class II	4751	246409	Rhizopus delemar RA 99-880	246409:001da4	I1BX23	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C04LM	Aminoacyl-tRNA synthetase, class II	4751	246410	Coccidioides immitis RS	246410:0016e5	J3KEL1	PSP1, C-terminal
EOG092C04LM	Aminoacyl-tRNA synthetase, class II	4751	246410	Coccidioides immitis RS	246410:0008cc	J3KKC9	
EOG092C04LM	Aminoacyl-tRNA synthetase, class II	4751	283643	Cryptococcus neoformans var. neoformans B-3501A	283643:001651	Q55NX4	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C04LM	Aminoacyl-tRNA synthetase, class II	4751	283643	Cryptococcus neoformans var. neoformans B-3501A	283643:000d22	F5HI11	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C04LM	Aminoacyl-tRNA synthetase, class II	4751	284590	Kluyveromyces lactis NRRL Y-1140	284590:000a83	Q6CS53	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C04LM	Aminoacyl-tRNA synthetase, class II	4751	284591	Yarrowia lipolytica CLIB122	284591:001873	Q6C868	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C04LM	Aminoacyl-tRNA synthetase, class II	4751	284592	Debaryomyces hansenii CBS767	284592:001638	Q6BY63	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C04LM	Aminoacyl-tRNA synthetase, class II	4751	284593	Candida glabrata CBS 138	284593:0012d2	Q6FVQ4	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C04LM	Aminoacyl-tRNA synthetase, class II	4751	284811	Eremothecium gossypii ATCC 10895	284811:00111b	Q75AF7	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C04LM	Aminoacyl-tRNA synthetase, class II	4751	284812	Schizosaccharomyces pombe 972h-	284812:000c74	dps1	Aspartyl-tRNA synthetase
EOG092C04LM	Aminoacyl-tRNA synthetase, class II	4751	284813	Encephalitozoon cuniculi GB-M1	284813:0000e7	Q8SRQ8	Aspartyl-tRNA synthetase
EOG092C04LM	Aminoacyl-tRNA synthetase, class II	4751	285006	Saccharomyces cerevisiae RM11-1a	285006:000847	B3LTF2	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C04LM	Aminoacyl-tRNA synthetase, class II	4751	294746	Meyerozyma guilliermondii ATCC 6260	294746:0016fd	A5DF63	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C04LM	Aminoacyl-tRNA synthetase, class II	4751	294747	Candida tropicalis MYA-3404	294747:000e12	C5M3Z4	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C04LM	Aminoacyl-tRNA synthetase, class II	4751	294748	Candida albicans WO-1	294748:0011ce	C4YLD5	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C04LM	Aminoacyl-tRNA synthetase, class II	4751	306901	Chaetomium globosum CBS 148.51	306901:0029e9	Q2GRA9	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C04LM	Aminoacyl-tRNA synthetase, class II	4751	306901	Chaetomium globosum CBS 148.51	306901:00196e	Q2H513	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C04LM	Aminoacyl-tRNA synthetase, class II	4751	306902	Clavispora lusitaniae ATCC 42720	306902:0010e4	C4XY98	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C04LM	Aminoacyl-tRNA synthetase, class II	4751	307796	Saccharomyces cerevisiae YJM789	307796:000c32	DPS1	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C04LM	Aminoacyl-tRNA synthetase, class II	4751	321614	Parastagonospora nodorum SN15	321614:003016	Q0UVE7	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C04LM	Aminoacyl-tRNA synthetase, class II	4751	321614	Parastagonospora nodorum SN15	321614:0023cd	Q0TY90	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C04LM	Aminoacyl-tRNA synthetase, class II	4751	321614	Parastagonospora nodorum SN15	321614:0019cb	Q0V6K9	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C04LM	Aminoacyl-tRNA synthetase, class II	4751	322104	Scheffersomyces stipitis CBS 6054	322104:000976	DPS1	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C04LM	Aminoacyl-tRNA synthetase, class II	4751	330879	Aspergillus fumigatus Af293	330879:001a38	Q4WKG3	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C04LM	Aminoacyl-tRNA synthetase, class II	4751	330879	Aspergillus fumigatus Af293	330879:001239	Q4WAV6	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C04LM	Aminoacyl-tRNA synthetase, class II	4751	330879	Aspergillus fumigatus Af293	330879:000756	Q4WI99	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C04LM	Aminoacyl-tRNA synthetase, class II	4751	331117	Neosartorya fischeri NRRL 181	331117:000ceb	A1D501	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C04LM	Aminoacyl-tRNA synthetase, class II	4751	331117	Neosartorya fischeri NRRL 181	331117:000346	A1CYW1	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C04LM	Aminoacyl-tRNA synthetase, class II	4751	332952	Aspergillus flavus NRRL3357	332952:0011f3	B8MYF2	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C04LM	Aminoacyl-tRNA synthetase, class II	4751	332952	Aspergillus flavus NRRL3357	332952:000a39	B8NFS0	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C04LM	Aminoacyl-tRNA synthetase, class II	4751	336722	Zymoseptoria tritici IPO323	336722:0016f4	F9WWS7	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C04LM	Aminoacyl-tRNA synthetase, class II	4751	336722	Zymoseptoria tritici IPO323	336722:0012df	F9XPM4	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C04LM	Aminoacyl-tRNA synthetase, class II	4751	336963	Uncinocarpus reesii 1704	336963:00128b	C4JW42	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
