pub_og_id	og_name	level_taxid	organism_taxid	organism_name	int_prot_id	pub_gene_id	description
EOG092C1VT8	Aminoacyl-tRNA synthetase, class II	4751	72359	Trachipleistophora hominis	72359:0000bc	L7JU39	Aminoacyl-tRNA synthetase, class II
EOG092C1VT8	Aminoacyl-tRNA synthetase, class II	4751	214684	Cryptococcus neoformans var. neoformans JEC21	214684:000586	Q5KLD7	Aminoacyl-tRNA synthetase, class II
EOG092C1VT8	Aminoacyl-tRNA synthetase, class II	4751	222929	Coccidioides posadasii C735 delta SOWgp	222929:00023b	C5PIZ9	Aminoacyl-tRNA synthetase, class II
EOG092C1VT8	Aminoacyl-tRNA synthetase, class II	4751	227321	Aspergillus nidulans FGSC A4	227321:000cc5	Q5BBD0	Aminoacyl-tRNA synthetase, class II
EOG092C1VT8	Aminoacyl-tRNA synthetase, class II	4751	229533	Fusarium graminearum PH-1	229533:000dd2	I1RMQ4	Aminoacyl-tRNA synthetase, class II
EOG092C1VT8	Aminoacyl-tRNA synthetase, class II	4751	235443	Cryptococcus neoformans var. grubii H99	235443:0002bf	J9VGR3	Aminoacyl-tRNA synthetase, class II
EOG092C1VT8	Aminoacyl-tRNA synthetase, class II	4751	237561	Candida albicans SC5314	237561:0006f0	Q59R20	Aminoacyl-tRNA synthetase, class II
EOG092C1VT8	Aminoacyl-tRNA synthetase, class II	4751	237631	Ustilago maydis 521	237631:000308	Q4PGA8	
EOG092C1VT8	Aminoacyl-tRNA synthetase, class II	4751	240176	Coprinopsis cinerea okayama7#130	240176:00039b	A8PCE0	Aminoacyl-tRNA synthetase, class II
EOG092C1VT8	Aminoacyl-tRNA synthetase, class II	4751	242507	Magnaporthe oryzae 70-15	242507:00094a	G4NG70	Aminoacyl-tRNA synthetase, class II
EOG092C1VT8	Aminoacyl-tRNA synthetase, class II	4751	246409	Rhizopus delemar RA 99-880	246409:0005d7	I1C6E7	Aminoacyl-tRNA synthetase, class II
EOG092C1VT8	Aminoacyl-tRNA synthetase, class II	4751	246410	Coccidioides immitis RS	246410:0004c9	J3KGR4	Similarity:Belongs to the TCP-1 chaperonin family.
EOG092C1VT8	Aminoacyl-tRNA synthetase, class II	4751	283643	Cryptococcus neoformans var. neoformans B-3501A	283643:0001b5	Q55YK1	hypothetical protein
EOG092C1VT8	Aminoacyl-tRNA synthetase, class II	4751	284590	Kluyveromyces lactis NRRL Y-1140	284590:000568	Q6CXG6	Aminoacyl-tRNA synthetase, class II
EOG092C1VT8	Aminoacyl-tRNA synthetase, class II	4751	284591	Yarrowia lipolytica CLIB122	284591:0002e5	Q6C6Z6	Aminoacyl-tRNA synthetase, class II
EOG092C1VT8	Aminoacyl-tRNA synthetase, class II	4751	284592	Debaryomyces hansenii CBS767	284592:000430	Q6BU45	Aminoacyl-tRNA synthetase, class II
EOG092C1VT8	Aminoacyl-tRNA synthetase, class II	4751	284593	Candida glabrata CBS 138	284593:0006a8	Q6FY05	Aminoacyl-tRNA synthetase, class II
EOG092C1VT8	Aminoacyl-tRNA synthetase, class II	4751	284811	Eremothecium gossypii ATCC 10895	284811:000410	Q757N3	Aminoacyl-tRNA synthetase, class II
EOG092C1VT8	Aminoacyl-tRNA synthetase, class II	4751	284812	Schizosaccharomyces pombe 972h-	284812:0008d9	prs1	Prolyl-tRNA synthetase
EOG092C1VT8	Aminoacyl-tRNA synthetase, class II	4751	284813	Encephalitozoon cuniculi GB-M1	284813:0000f2	Q8SSD7	Prolyl-tRNA synthetase
EOG092C1VT8	Aminoacyl-tRNA synthetase, class II	4751	285006	Saccharomyces cerevisiae RM11-1a	285006:000340	B3LSE0	Aminoacyl-tRNA synthetase, class II
EOG092C1VT8	Aminoacyl-tRNA synthetase, class II	4751	294746	Meyerozyma guilliermondii ATCC 6260	294746:000282	A5DQS9	Aminoacyl-tRNA synthetase, class II
EOG092C1VT8	Aminoacyl-tRNA synthetase, class II	4751	294747	Candida tropicalis MYA-3404	294747:00027f	C5MGG6	Aminoacyl-tRNA synthetase, class II
EOG092C1VT8	Aminoacyl-tRNA synthetase, class II	4751	294748	Candida albicans WO-1	294748:00026c	C4YT00	Aminoacyl-tRNA synthetase, class II
EOG092C1VT8	Aminoacyl-tRNA synthetase, class II	4751	306901	Chaetomium globosum CBS 148.51	306901:000263	Q2H1U3	Aminoacyl-tRNA synthetase, class II
EOG092C1VT8	Aminoacyl-tRNA synthetase, class II	4751	306902	Clavispora lusitaniae ATCC 42720	306902:00016a	C4Y0D3	Aminoacyl-tRNA synthetase, class II
EOG092C1VT8	Aminoacyl-tRNA synthetase, class II	4751	307796	Saccharomyces cerevisiae YJM789	307796:0003b2	A6ZSS4	Aminoacyl-tRNA synthetase, class II
EOG092C1VT8	Aminoacyl-tRNA synthetase, class II	4751	321614	Parastagonospora nodorum SN15	321614:00054d	Q0U2H3	Aminoacyl-tRNA synthetase, class II
EOG092C1VT8	Aminoacyl-tRNA synthetase, class II	4751	322104	Scheffersomyces stipitis CBS 6054	322104:00061a	A3LY68	Aminoacyl-tRNA synthetase, class II
EOG092C1VT8	Aminoacyl-tRNA synthetase, class II	4751	330879	Aspergillus fumigatus Af293	330879:000a2e	Q4WZR7	Aminoacyl-tRNA synthetase, class II
EOG092C1VT8	Aminoacyl-tRNA synthetase, class II	4751	331117	Neosartorya fischeri NRRL 181	331117:00025c	A1DIG1	Aminoacyl-tRNA synthetase, class II
EOG092C1VT8	Aminoacyl-tRNA synthetase, class II	4751	332952	Aspergillus flavus NRRL3357	332952:000b15	B8N6G8	Aminoacyl-tRNA synthetase, class II
EOG092C1VT8	Aminoacyl-tRNA synthetase, class II	4751	336722	Zymoseptoria tritici IPO323	336722:0006e7	F9XJK1	Aminoacyl-tRNA synthetase, class II
EOG092C1VT8	Aminoacyl-tRNA synthetase, class II	4751	336963	Uncinocarpus reesii 1704	336963:000607	C4JL52	Aminoacyl-tRNA synthetase, class II
EOG092C1VT8	Aminoacyl-tRNA synthetase, class II	4751	339724	Histoplasma capsulatum NAm1	339724:0001a8	A6RCC5	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C1VT8	Aminoacyl-tRNA synthetase, class II	4751	341663	Aspergillus terreus NIH2624	341663:000198	Q0CVE1	Aminoacyl-tRNA synthetase, class II
EOG092C1VT8	Aminoacyl-tRNA synthetase, class II	4751	344612	Aspergillus clavatus NRRL 1	344612:000642	A1C7T9	Aminoacyl-tRNA synthetase, class II
EOG092C1VT8	Aminoacyl-tRNA synthetase, class II	4751	367110	Neurospora crassa OR74A	367110:002365	Q7RWB7	Aminoacyl-tRNA synthetase, class II
EOG092C1VT8	Aminoacyl-tRNA synthetase, class II	4751	367775	Cryptococcus gattii WM276	367775:00038a	E6QYW8	Aminoacyl-tRNA synthetase, class II
EOG092C1VT8	Aminoacyl-tRNA synthetase, class II	4751	379508	Lodderomyces elongisporus NRRL YB-4239	379508:000386	A5E6D6	Aminoacyl-tRNA synthetase, class II
EOG092C1VT8	Aminoacyl-tRNA synthetase, class II	4751	380704	Aspergillus niger ATCC 1015	380704:0004db	G3XWX7	Aminoacyl-tRNA synthetase, class II
EOG092C1VT8	Aminoacyl-tRNA synthetase, class II	4751	383855	Pseudocercospora fijiensis CIRAD86	383855:000735	M2YKS4	Aminoacyl-tRNA synthetase, class II
EOG092C1VT8	Aminoacyl-tRNA synthetase, class II	4751	402676	Schizosaccharomyces japonicus yFS275	402676:000229	B6K068	Aminoacyl-tRNA synthetase, class II
EOG092C1VT8	Aminoacyl-tRNA synthetase, class II	4751	413071	Trichoderma virens Gv29-8	413071:000498	G9N5Y1	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C1VT8	Aminoacyl-tRNA synthetase, class II	4751	418459	Puccinia graminis f. sp. tritici CRL 75-36-700-3	418459:0006d7	E3L752	Aminoacyl-tRNA synthetase, class II
EOG092C1VT8	Aminoacyl-tRNA synthetase, class II	4751	425011	Aspergillus niger CBS 513.88	425011:00027b	A2R621	Aminoacyl-tRNA synthetase, class II
EOG092C1VT8	Aminoacyl-tRNA synthetase, class II	4751	425265	Malassezia globosa CBS 7966	425265:000245	A8Q8W7	Aminoacyl-tRNA synthetase, class II
EOG092C1VT8	Aminoacyl-tRNA synthetase, class II	4751	426418	Pyrenophora tritici-repentis Pt-1C-BFP	426418:000644	B2WG24	Aminoacyl-tRNA synthetase, class II
EOG092C1VT8	Aminoacyl-tRNA synthetase, class II	4751	426428	Fusarium oxysporum f. sp. lycopersici 4287	426428:0008d9	J9MZW3	
EOG092C1VT8	Aminoacyl-tRNA synthetase, class II	4751	431241	Trichoderma reesei QM6a	431241:000269	G0RC12	Aminoacyl-tRNA synthetase, class II
EOG092C1VT8	Aminoacyl-tRNA synthetase, class II	4751	436907	Vanderwaltozyma polyspora DSM 70294	436907:00054b	A7TPY9	Aminoacyl-tRNA synthetase, class II
EOG092C1VT8	Aminoacyl-tRNA synthetase, class II	4751	441959	Talaromyces stipitatus ATCC 10500	441959:00054c	B8MBN0	Aminoacyl-tRNA synthetase, class II
EOG092C1VT8	Aminoacyl-tRNA synthetase, class II	4751	441960	Talaromyces marneffei ATCC 18224	441960:000347	B6QG29	Aminoacyl-tRNA synthetase, class II
EOG092C1VT8	Aminoacyl-tRNA synthetase, class II	4751	443226	Coccidioides posadasii str. Silveira	443226:00050a	E9D633	Aminoacyl-tRNA synthetase, class II
EOG092C1VT8	Aminoacyl-tRNA synthetase, class II	4751	447093	Histoplasma capsulatum G186AR	447093:000623	C0NLW7	Aminoacyl-tRNA synthetase, class II
EOG092C1VT8	Aminoacyl-tRNA synthetase, class II	4751	451804	Aspergillus fumigatus A1163	451804:0005c6	B0XUW7	Aminoacyl-tRNA synthetase, class II
EOG092C1VT8	Aminoacyl-tRNA synthetase, class II	4751	452589	Trichoderma atroviride IMI 206040	452589:000469	G9NHR4	Aminoacyl-tRNA synthetase, class II
EOG092C1VT8	Aminoacyl-tRNA synthetase, class II	4751	481877	Enterocytozoon bieneusi H348	481877:00024c	A9CSI2	Aminoacyl-tRNA synthetase, class II
EOG092C1VT8	Aminoacyl-tRNA synthetase, class II	4751	482561	Paracoccidioides brasiliensis Pb03	482561:0004e3	C0RZW1	Aminoacyl-tRNA synthetase, class II
EOG092C1VT8	Aminoacyl-tRNA synthetase, class II	4751	483514	Schizosaccharomyces octosporus yFS286	483514:0002d4	S9Q374	Aminoacyl-tRNA synthetase, class II
EOG092C1VT8	Aminoacyl-tRNA synthetase, class II	4751	486041	Laccaria bicolor S238N-H82	486041:000777	B0D6T2	Aminoacyl-tRNA synthetase, class II
EOG092C1VT8	Aminoacyl-tRNA synthetase, class II	4751	498257	Verticillium dahliae VdLs.17	498257:00040b	G2WR09	Aminoacyl-tRNA synthetase, class II
EOG092C1VT8	Aminoacyl-tRNA synthetase, class II	4751	500485	Penicillium rubens Wisconsin 54-1255	500485:000912	B6HJA0	Aminoacyl-tRNA synthetase, class II
EOG092C1VT8	Aminoacyl-tRNA synthetase, class II	4751	502779	Paracoccidioides lutzii Pb01	502779:000461	C1GZK7	Aminoacyl-tRNA synthetase, class II
EOG092C1VT8	Aminoacyl-tRNA synthetase, class II	4751	502780	Paracoccidioides brasiliensis Pb18	502780:000050	C1G570	Aminoacyl-tRNA synthetase, class II
EOG092C1VT8	Aminoacyl-tRNA synthetase, class II	4751	510516	Aspergillus oryzae RIB40	510516:00025a	Q2UDE8	Aminoacyl-tRNA synthetase, class II
EOG092C1VT8	Aminoacyl-tRNA synthetase, class II	4751	510951	Neurospora tetrasperma FGSC 2508	510951:0003db	F8MFX2	Aminoacyl-tRNA synthetase, class II
EOG092C1VT8	Aminoacyl-tRNA synthetase, class II	4751	510952	Neurospora tetrasperma FGSC 2509	510952:000632	G4UKB9	Aminoacyl-tRNA synthetase, class II
EOG092C1VT8	Aminoacyl-tRNA synthetase, class II	4751	515849	Podospora anserina S mat+	515849:0004bf	B2B3M4	Aminoacyl-tRNA synthetase, class II
EOG092C1VT8	Aminoacyl-tRNA synthetase, class II	4751	526221	Verticillium alfalfae VaMs.102	526221:00039f	C9S5L5	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C1VT8	Aminoacyl-tRNA synthetase, class II	4751	535722	Microsporum gypseum CBS 118893	535722:000441	E4UVW2	Aminoacyl-tRNA synthetase, class II
EOG092C1VT8	Aminoacyl-tRNA synthetase, class II	4751	544711	Histoplasma capsulatum H88	544711:000515	F0U8G6	Aminoacyl-tRNA synthetase, class II
EOG092C1VT8	Aminoacyl-tRNA synthetase, class II	4751	544712	Histoplasma capsulatum H143	544712:0003cb	C6H428	Aminoacyl-tRNA synthetase, class II
EOG092C1VT8	Aminoacyl-tRNA synthetase, class II	4751	545124	Saccharomyces cerevisiae AWRI1631	545124:00008d	B5VJU8	Aminoacyl-tRNA synthetase, class II
EOG092C1VT8	Aminoacyl-tRNA synthetase, class II	4751	546991	Blumeria graminis f. sp. hordei DH14	546991:000481	N1J7L3	Aminoacyl-tRNA synthetase, class II
EOG092C1VT8	Aminoacyl-tRNA synthetase, class II	4751	554155	Arthroderma otae CBS 113480	554155:000781	C5FZ67	Aminoacyl-tRNA synthetase, class II
EOG092C1VT8	Aminoacyl-tRNA synthetase, class II	4751	554373	Moniliophthora perniciosa FA553	554373:0027e8	E2LA09	Anticodon-binding
EOG092C1VT8	Aminoacyl-tRNA synthetase, class II	4751	559292	Saccharomyces cerevisiae S288c	559292:001603	P38708	Prolyl-tRNA synthetase
EOG092C1VT8	Aminoacyl-tRNA synthetase, class II	4751	559295	Lachancea thermotolerans CBS 6340	559295:00013b	C5E3F7	Aminoacyl-tRNA synthetase, class II
EOG092C1VT8	Aminoacyl-tRNA synthetase, class II	4751	559297	Blastomyces dermatitidis ER-3	559297:000645	C5GN16	Aminoacyl-tRNA synthetase, class II
