# dvsaATG_highdiffw_outframe_Sc.txt
# Genes with in-frame high-score dATGs
# In S. cerevisiae S288C:
#   - in top 5% by difference, aATG.scorekw - d1.scorekw
#   - in top 50% by RNA abundance
#   - dATG is out-of-frame with aATG
#
# Gene: systematic gene name
# aATG.scorekw: annotated ATG score against wide Kozak consensus sequence
# d1.scorekw: 1st downstream ATG score against wide Kozak consensus sequence
#
# Edward Wallace, Jan 2019
Gene	aATG.scorekw	d1.scorekw
YBL079W	0.661	0.888
YLR412W	0.687	0.892
YGR231C	0.742	0.921
YJL164C	0.731	0.906
YLR248W	0.77	0.944
YDR310C	0.695	0.869
YEL061C	0.76	0.932
YNL258C	0.783	0.953
YHL004W	0.749	0.909
YMR012W	0.794	0.95
YER005W	0.703	0.854
YLR078C	0.716	0.865
YHR119W	0.786	0.935
YPL011C	0.776	0.923
YLR073C	0.731	0.875
YHR163W	0.767	0.905
YGR024C	0.716	0.854
YAL029C	0.696	0.833
YJR074W	0.673	0.81
YKL004W	0.679	0.816
YPR051W	0.703	0.84
YGR007W	0.725	0.86
YHL039W	0.719	0.854
YDL064W	0.833	0.968
YHR152W	0.797	0.93
YKR071C	0.753	0.885
YNL244C	0.742	0.875
YOR221C	0.695	0.825
YDR164C	0.771	0.901
YFL007W	0.741	0.87
YGR172C	0.783	0.912
YBR036C	0.806	0.934
YOL076W	0.769	0.893
YOR291W	0.796	0.919
YCR030C	0.777	0.9
YNL035C	0.765	0.888
YPR131C	0.825	0.948
YDL040C	0.82	0.942
YBR133C	0.733	0.855
YHL035C	0.763	0.883
YNL121C	0.799	0.918
YIL125W	0.813	0.93
YIL022W	0.731	0.848
YHL020C	0.783	0.9
YPR037C	0.762	0.879
YBR265W	0.805	0.921
YDL226C	0.818	0.933
YER134C	0.796	0.909
YML086C	0.762	0.874
YCR018C	0.804	0.916
YJL117W	0.798	0.909
YAR002W	0.781	0.892
YPL252C	0.756	0.865
YEL006W	0.821	0.93
YKL212W	0.798	0.906
YDR194C	0.774	0.882
YBR262C	0.809	0.916
YDL060W	0.809	0.915
YDL116W	0.796	0.902
YPR004C	0.751	0.857
YER019W	0.778	0.883
YBL052C	0.832	0.936
YLR077W	0.719	0.823
YIL015W	0.789	0.893
YDR062W	0.821	0.924
YNL005C	0.783	0.886
YKL207W	0.667	0.768
YLR285W	0.704	0.806
YLR455W	0.689	0.79
YLR247C	0.741	0.841
YGL098W	0.827	0.928
YNL283C	0.796	0.896
YPL071C	0.75	0.85
YGR117C	0.803	0.901
YNL048W	0.817	0.916
YJL207C	0.8	0.898
YOR233W	0.838	0.935
YKL016C	0.782	0.878
YIL103W	0.833	0.928
YOR354C	0.766	0.86
YDR452W	0.71	0.804
YJR005W	0.75	0.844
YGL246C	0.749	0.842
YEL031W	0.74	0.833
YMR220W	0.792	0.885
YDR117C	0.818	0.911
YLR258W	0.822	0.914
YJL198W	0.767	0.858
YPL043W	0.824	0.915
YDR139C	0.735	0.825
YPL084W	0.725	0.815
YKL167C	0.861	0.951
YML031W	0.676	0.765
