pub_og_id	og_name	level_taxid	organism_taxid	organism_name	int_prot_id	pub_gene_id	description
EOG092C0M3M	SAICAR synthetase/ADE2, N-terminal	4751	214684	Cryptococcus neoformans var. neoformans JEC21	214684:000412	Q5KPW6	Tyrosyl-tRNA synthetase
EOG092C0M3M	SAICAR synthetase/ADE2, N-terminal	4751	222929	Coccidioides posadasii C735 delta SOWgp	222929:00023c	C5PIS5	ATP-grasp fold, subdomain 2
EOG092C0M3M	SAICAR synthetase/ADE2, N-terminal	4751	226230	Saccharomyces kudriavzevii IFO 1802	226230:000294	J5Q1P4	ATP-grasp fold, subdomain 2
EOG092C0M3M	SAICAR synthetase/ADE2, N-terminal	4751	227321	Aspergillus nidulans FGSC A4	227321:001147	Q5B3Z1	ATP-grasp fold, subdomain 2
EOG092C0M3M	SAICAR synthetase/ADE2, N-terminal	4751	229533	Fusarium graminearum PH-1	229533:0029d3	I1RYJ7	ATP-grasp fold, subdomain 2
EOG092C0M3M	SAICAR synthetase/ADE2, N-terminal	4751	235443	Cryptococcus neoformans var. grubii H99	235443:0001ba	J9VKS0	Aminoacyl-tRNA synthetase, class Ic
EOG092C0M3M	SAICAR synthetase/ADE2, N-terminal	4751	237561	Candida albicans SC5314	237561:00150e	Q5AAK5	ATP-grasp fold, subdomain 2
EOG092C0M3M	SAICAR synthetase/ADE2, N-terminal	4751	237631	Ustilago maydis 521	237631:00045e	Q4P587	
EOG092C0M3M	SAICAR synthetase/ADE2, N-terminal	4751	240176	Coprinopsis cinerea okayama7#130	240176:000595	A8NAD6	ATP-grasp fold, subdomain 2
EOG092C0M3M	SAICAR synthetase/ADE2, N-terminal	4751	242507	Magnaporthe oryzae 70-15	242507:00083e	G4NKV5	ATP-grasp fold, subdomain 2
EOG092C0M3M	SAICAR synthetase/ADE2, N-terminal	4751	246409	Rhizopus delemar RA 99-880	246409:000274	I1BR14	ATP-grasp fold, subdomain 2
