pub_og_id	og_name	level_taxid	organism_taxid	organism_name	int_prot_id	pub_gene_id	description
EOG092C1ISK	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.	4751	214684	Cryptococcus neoformans var. neoformans JEC21	214684:0003f3	Q5KJI8	Anticodon-binding
EOG092C1ISK	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.	4751	222929	Coccidioides posadasii C735 delta SOWgp	222929:000102	C5PIB0	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C1ISK	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.	4751	226230	Saccharomyces kudriavzevii IFO 1802	226230:000298	YPR033C	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C1ISK	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.	4751	227321	Aspergillus nidulans FGSC A4	227321:001e68	C8VRD6	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C1ISK	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.	4751	229533	Fusarium graminearum PH-1	229533:0008c9	I1RRX9	Aminoacyl-tRNA synthetase, class II
EOG092C1ISK	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.	4751	235443	Cryptococcus neoformans var. grubii H99	235443:0005e4	J9VYL9	Anticodon-binding
EOG092C1ISK	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.	4751	237561	Candida albicans SC5314	237561:000648	Q5AJX0	Anticodon-binding
EOG092C1ISK	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.	4751	237631	Ustilago maydis 521	237631:0001ca	Q4P1I6	
EOG092C1ISK	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.	4751	240176	Coprinopsis cinerea okayama7#130	240176:00067e	D6RKA6	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C1ISK	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.	4751	242507	Magnaporthe oryzae 70-15	242507:0008a7	G4N6G1	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
EOG092C1ISK	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.	4751	246409	Rhizopus delemar RA 99-880	246409:0007d4	I1BLK0	Similarity:Belongs to the class-II aminoacyl-tRNA synthetase family.
