Sequence ID	Probability of presequence	Prediction	Cleavage site (processing enzyme)	Net charge	Positions for TOM20 recognition motif (deliminated by comma)	Position of amphypathic alpha-helix	BHHPPP	BPHBHH	HBHHBb	HBHHbB	HHBHHB	HHBPHB	HHBPHH	HHBPHP	HHHBBH	HHHBPH	HHHHBB	HHPBHH	HPBHHP	PHHBPH
C1_00010W_A Ntermext	0.000	No mitochondrial presequence	9(MPP)	0.111	14-18	14-23-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00020C_A Ntermext	0.026	No mitochondrial presequence	39(MPP)	0.103		13-24-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00030C_A Ntermext	0.000	No mitochondrial presequence	26(MPP)	-0.154		19-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00040W_A Ntermext	0.008	No mitochondrial presequence	9(MPP)	0.000		9-18-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00050C_A Ntermext	0.814	Possessing mitochondrial presequence	14(MPP)	0.071	28-32,91-95	10-19-high	-	-	-	-	-	-	11-16,15-20	-	-	-	-	-	-	10-15,14-19	
C1_00060W_A Ntermext	0.098	No mitochondrial presequence	32(MPP)	0.156		7-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00070W_A Ntermext	0.008	No mitochondrial presequence	24(MPP)	0.167		4-14-low	-	-	-	-	-	-	-	-	-	-	19-24	-	-	-	
C1_00080C_A Ntermext	0.000	No mitochondrial presequence	20(MPP)	-0.050		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00090W_A Ntermext	0.009	No mitochondrial presequence	51(MPP)	0.078		20-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00100C_A Ntermext	0.378	No mitochondrial presequence	24(MPP)	0.250	21-25,57-61	19-28-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00110W_A Ntermext	0.030	No mitochondrial presequence	9(MPP), 10(Icp55)	0.111		1-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00120C_A Ntermext	0.005	No mitochondrial presequence	37(MPP)	0.081	3-7,46-50,95-99	19-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00130C_A Ntermext	0.003	No mitochondrial presequence	38(MPP), 39(Icp55)	-0.026	12-16,59-63	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	12-17	-	
C1_00140W_A Ntermext	0.010	No mitochondrial presequence	40(MPP)	0.125	89-93	3-12-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00150C_A Ntermext	0.250	No mitochondrial presequence	27(MPP)	0.148	1-5,5-9	1-10-high	-	-	-	-	-	-	-	-	-	-	-	4-9	-	-	
C1_00160C_A Ntermext	0.000	No mitochondrial presequence	31(MPP)	0.065		4-13-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
C1_00170W_A Ntermext	0.801	Possessing mitochondrial presequence	9(MPP)	0.222	2-6,6-10,52-56,80-84	2-13-high	-	-	-	-	-	-	-	-	-	-	-	5-10	2-7,6-11	-	
C1_00180W_A Ntermext	0.043	No mitochondrial presequence	35(MPP)	0.057	19-23,32-36,96-100	13-23-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
