i	Pos	All	HiTrans	CytoRibo
1	-12	0.049	0.191	0.209
2	-11	0.067	0.336	0.321
3	-10	0.055	0.249	0.31
4	-9	0.054	0.1	0.098
5	-8	0.076	0.211	0.152
6	-7	0.054	0.165	0.159
7	-6	0.018	0.04	0.05
8	-5	0.078	0.16	0.227
9	-4	0.203	0.556	0.672
10	-3	0.452	1.199	1.612
11	-2	0.149	0.578	1.06
12	-1	0.14	0.622	0.813
13	1	1.996	1.951	1.836
14	2	1.996	1.951	1.836
15	3	1.996	1.951	1.836
16	4	0.022	0.208	0.424
17	5	0.363	0.547	0.392
18	6	0.088	0.487	0.37
19	7	0.006	0.031	0.067
20	8	0.08	0.096	0.066
21	9	0.097	0.283	0.215
22	10	0.025	0.015	0.015
23	11	0.087	0.09	0.052
24	12	0.052	0.125	0.188
