pub_og_id	og_name	level_taxid	organism_taxid	organism_name	int_prot_id	pub_gene_id	description
EOG092C0H3K	Aminoacyl-tRNA synthetase, class Ia	4751	72359	Trachipleistophora hominis	72359:000a6f	L7JZU4	Similarity:Belongs to the class-I aminoacyl-tRNA synthetase family.
EOG092C0H3K	Aminoacyl-tRNA synthetase, class Ia	4751	214684	Cryptococcus neoformans var. neoformans JEC21	214684:00024d	Q5KMF6	Aminoacyl-tRNA synthetase, class 1a, anticodon-binding
EOG092C0H3K	Aminoacyl-tRNA synthetase, class Ia	4751	222929	Coccidioides posadasii C735 delta SOWgp	222929:00062c	C5P2N7	Aminoacyl-tRNA synthetase, class 1a, anticodon-binding
EOG092C0H3K	Aminoacyl-tRNA synthetase, class Ia	4751	226230	Saccharomyces kudriavzevii IFO 1802	226230:0001e1	J8THC6	Aminoacyl-tRNA synthetase, class 1a, anticodon-binding
EOG092C0H3K	Aminoacyl-tRNA synthetase, class Ia	4751	227321	Aspergillus nidulans FGSC A4	227321:001de8	C8VMG0	Aminoacyl-tRNA synthetase, class 1a, anticodon-binding
EOG092C0H3K	Aminoacyl-tRNA synthetase, class Ia	4751	229533	Fusarium graminearum PH-1	229533:000c00	I1RRV4	Aminoacyl-tRNA synthetase, class 1a, anticodon-binding
EOG092C0H3K	Aminoacyl-tRNA synthetase, class Ia	4751	235443	Cryptococcus neoformans var. grubii H99	235443:000186	J9VNB3	Aminoacyl-tRNA synthetase, class 1a, anticodon-binding
EOG092C0H3K	Aminoacyl-tRNA synthetase, class Ia	4751	237561	Candida albicans SC5314	237561:0014a2	Q59JY3	Aminoacyl-tRNA synthetase, class 1a, anticodon-binding
EOG092C0H3K	Aminoacyl-tRNA synthetase, class Ia	4751	237561	Candida albicans SC5314	237561:0014a1	Q59JY1	Aminoacyl-tRNA synthetase, class 1a, anticodon-binding
EOG092C0H3K	Aminoacyl-tRNA synthetase, class Ia	4751	237631	Ustilago maydis 521	237631:00048e	Q4P8Q1	
EOG092C0H3K	Aminoacyl-tRNA synthetase, class Ia	4751	240176	Coprinopsis cinerea okayama7#130	240176:000734	A8NWU5	Aminoacyl-tRNA synthetase, class 1a, anticodon-binding
EOG092C0H3K	Aminoacyl-tRNA synthetase, class Ia	4751	242507	Magnaporthe oryzae 70-15	242507:00043a	G4MKM5	Aminoacyl-tRNA synthetase, class 1a, anticodon-binding
