i	Pos	All	HiTrans	CytoRibo
1	-12	0.144	0.374	0.285
2	-11	0.164	0.267	0.434
3	-10	0.167	0.32	0.259
4	-9	0.137	0.394	0.325
5	-8	0.159	0.286	0.387
6	-7	0.192	0.397	0.464
7	-6	0.146	0.287	0.136
8	-5	0.138	0.239	0.197
9	-4	0.201	0.476	0.635
10	-3	0.458	1.392	1.623
11	-2	0.186	0.305	0.45
12	-1	0.172	0.412	0.479
13	1	1.988	1.947	1.841
14	2	1.988	1.947	1.841
15	3	1.988	1.947	1.841
16	4	0.096	0.269	0.233
17	5	0.147	0.402	0.505
18	6	0.208	0.49	0.653
19	7	0.055	0.049	0.108
20	8	0.064	0.054	0.091
21	9	0.155	0.242	0.208
22	10	0.04	0.067	0.088
23	11	0.098	0.119	0.071
24	12	0.226	0.34	0.242
