FAMILY_ID	SPECIES	UNIPROT	ENTREZ
PTHR36101:SF1	YEAST	P00856	24573117
PTHR36101:SF1	YEAST	P00856	854600
PTHR36101:SF1	SCHPO	P21536	1669531
PTHR36101:SF1	EMENI	P0CY41	12799280
PTHR36101:SF1	EMENI	P0CY41	12799323
PTHR36101:SF1	EMENI	P0CY41	3684049
PTHR36101:SF1	EMENI	H9D0N5	12799280
PTHR36101:SF1	EMENI	H9D0N5	12799323
PTHR36101:SF1	EMENI	H9D0N5	3684049
PTHR36101:SF1	ASHGO	Q75G40	2760772
PTHR36101:SF1	ASHGO	Q75G40	4622592
PTHR36101:SF1	ASHGO	Q751Q6	2760772
PTHR36101:SF1	ASHGO	Q751Q6	4622592
PTHR36101:SF1	CANAL	Q9B8D3	802553
PTHR36101:SF1	NEUCR	Q08656	23681579
PTHR36101:SF1	USTMA	Q0H8Y5	4308275
PTHR36101:SF1	YARLI	Q36257	802621
PTHR11410:SF0	YEAST	P00854	854601
PTHR11410:SF0	SCHPO	P21535	1669530
PTHR11410:SF0	EMENI	H9D0P1	12799281
PTHR11410:SF0	ASHGO	Q75G39	2760773
PTHR11410:SF0	CANAL	Q9B8D4	802560
PTHR11410:SF0	NEUCR	P37212	23681580
PTHR11410:SF0	NEUCR	P37212	23681581
PTHR11410:SF0	NEUCR	M1RV38	23681580
PTHR11410:SF0	NEUCR	M1RV38	23681581
PTHR11410:SF0	PUCGT	H6QQX5	13541557
PTHR11410:SF0	USTMA	Q0H8Y6	4308290
PTHR11410:SF0	YARLI	Q36258	802623
PTHR10031:SF14	YEAST	P61829	24573116
PTHR10031:SF14	YEAST	P61829	854584
PTHR10031:SF14	SCHPO	P21537	1669532
PTHR10031:SF14	EMENI	H9D0P8	12799316
PTHR10031:SF14	ASHGO	Q75G38	2760770
PTHR10031:SF14	CANAL	Q9B8D5	802561
PTHR10031:SF14	NEUCR	Q12635	23681582
PTHR10031:SF14	USTMA	Q0H8W9	4308283
PTHR10031:SF14	YARLI	Q37695	802622
PTHR11910:SF1	YEAST	P09457	851892
PTHR11910:SF1	SCHPO	O74479	2539241
PTHR11910:SF1	EMENI	Q5AZJ3	2870961
PTHR11910:SF1	ASHGO	Q75EZ3	4618447
PTHR11910:SF1	BATDJ	F4PE98	18244672
PTHR11910:SF1	CANAL	Q5A7P7	3640521
PTHR11910:SF1	CRYNJ	Q5KIE2	3257229
PTHR11910:SF1	NEUCR	Q9P602	3872665
PTHR11910:SF1	PUCGT	E3KPE2	10540176
PTHR11910:SF1	SCLS1	A7EJ72	5489816
PTHR11910:SF1	USTMA	D1CUX6	NA
PTHR11910:SF1	YARLI	Q6C9B1	2910146
PTHR28161:SF1	YEAST	Q06405	851983
PTHR28161:SF1	SCHPO	O94377	2539609
PTHR28161:SF1	EMENI	C8VBH6	NA
PTHR28161:SF1	ASHGO	Q75BR8	4619737
PTHR28161:SF1	BATDJ	F4P7L7	18243865
PTHR28161:SF1	CRYNJ	Q5KJV2	3256690
PTHR28161:SF1	NEUCR	Q7S8I6	3878035
PTHR28161:SF1	SCLS1	A7F8D8	5481235
PTHR28161:SF1	USTMA	D1E6R7	NA
PTHR28161:SF1	YARLI	Q6C9E6	2910601
PTHR12700:SF12	YEAST	P30902	853853
PTHR12700:SF12	SCHPO	O94390	2540446
PTHR12700:SF12	EMENI	Q5AYJ9	2870376
PTHR12700:SF12	ASHGO	Q75CL6	4619427
PTHR12700:SF12	BATDJ	F4PD35	18237555
PTHR12700:SF12	CANAL	Q59PV8	3646672
PTHR12700:SF12	CRYNJ	Q5KLP2	3256014
PTHR12700:SF12	NEUCR	Q7SI16	3881973
PTHR12700:SF12	PUCGT	E3NX61	10535931
PTHR12700:SF12	SCLS1	A7EIZ2	5490021
PTHR12700:SF12	USTMA	D1DNW0	NA
PTHR12700:SF12	YARLI	Q6CFH9	2907546
PTHR28207:SF1	YEAST	Q12349	851002
PTHR28207:SF1	SCHPO	O59673	2540599
PTHR28207:SF1	EMENI	Q5B3F3	2872727
PTHR28207:SF1	ASHGO	Q74ZA8	4623264
PTHR28207:SF1	BATDJ	F4P5I1	18243659
PTHR28207:SF1	CRYNJ	Q5KIZ7	3257392
PTHR28207:SF1	NEUCR	Q7SGX0	3881448
PTHR28207:SF1	PUCGT	E3K970	10539875
PTHR28207:SF1	SCLS1	A7E751	5493685
PTHR28207:SF1	USTMA	D1CTL0	NA
PTHR28207:SF1	YARLI	Q6C2V6	2908594
PTHR28060:SF1	YEAST	P81450	854893
PTHR28060:SF1	SCHPO	O13931	2541918
PTHR28060:SF1	EMENI	C8V7S7	NA
PTHR28060:SF1	ASHGO	Q756T9	4621228
PTHR28060:SF1	BATDJ	F4P349	18243276
PTHR28060:SF1	CRYNJ	Q5KJQ3	3256220
PTHR28060:SF1	NEUCR	Q7SGJ1	3881357
PTHR28060:SF1	PUCGT	E3KSW1	10537915
PTHR28060:SF1	SCLS1	A7EVT5	5485802
PTHR28060:SF1	USTMA	D1DPW1	NA
PTHR28060:SF1	YARLI	Q6C8S0	2911301
PTHR28074:SF1	YEAST	Q3E824	1466480
PTHR28074:SF1	YEAST	Q3E824	854077
PTHR28074:SF1	YEAST	P81451	1466480
PTHR28074:SF1	YEAST	P81451	854077
PTHR28074:SF1	SCHPO	C6Y4A3	9407226
PTHR28074:SF1	EMENI	C8VB61	NA
PTHR28074:SF1	ASHGO	Q75EH0	4618573
PTHR28074:SF1	ASHGO	Q75EH0	4621082
PTHR28074:SF1	ASHGO	Q757J2	4618573
PTHR28074:SF1	ASHGO	Q757J2	4621082
PTHR28074:SF1	BATDJ	F4NSW0	18242114
PTHR28074:SF1	CRYNJ	Q5KNV6	3253329
PTHR28074:SF1	NEUCR	Q7S8M6	3878096
PTHR28074:SF1	PUCGT	E3KI89	10532709
PTHR28074:SF1	SCLS1	A7ET05	5486652
PTHR28074:SF1	YARLI	B5FVB3	7009411
PTHR12733:SF3	YEAST	P05626	856027
PTHR12733:SF3	SCHPO	O94373	2539732
PTHR12733:SF3	EMENI	Q5BD46	2874865
PTHR12733:SF3	ASHGO	Q758L2	4620792
PTHR12733:SF3	BATDJ	F4PE45	18236955
PTHR12733:SF3	CANAL	Q59ZE0	3643418
PTHR12733:SF3	CRYNJ	Q5KL26	3256631
PTHR12733:SF3	NEUCR	Q7SE71	3880466
PTHR12733:SF3	PUCGT	E3KY02	10546840
PTHR12733:SF3	SCLS1	A7E7X9	5493865
PTHR12733:SF3	USTMA	D1BW64	NA
PTHR12733:SF3	YARLI	Q6C105	2907796
PTHR12386:SF12	YEAST	Q12233	856131
PTHR12386:SF12	SCHPO	Q09774	2541878
PTHR12386:SF12	EMENI	Q5BET7	2876720
PTHR12386:SF12	ASHGO	Q75AE2	4620220
PTHR12386:SF12	BATDJ	F4P3A5	18243190
PTHR12386:SF12	CANAL	Q59M30	3647602
PTHR12386:SF12	CRYNJ	Q5KK91	3256281
PTHR12386:SF12	NEUCR	Q7SI08	3881981
PTHR12386:SF12	PUCGT	E3KMP6	10544131
PTHR12386:SF12	SCLS1	A7EKW3	5489513
PTHR12386:SF12	USTMA	D1CDA2	NA
PTHR12386:SF12	YARLI	B5FVB8	7009423
