pub_og_id	og_name	level_taxid	organism_taxid	organism_name	int_prot_id	pub_gene_id	description
EOG092C0P21	Alanine-tRNA ligase, class IIc	4751	72359	Trachipleistophora hominis	72359:00061c	L7JYN6	Alanine-tRNA ligase, class IIc
EOG092C0P21	Alanine-tRNA ligase, class IIc	4751	214684	Cryptococcus neoformans var. neoformans JEC21	214684:00020f	Q5KF97	Alanine-tRNA ligase, class IIc
EOG092C0P21	Alanine-tRNA ligase, class IIc	4751	222929	Coccidioides posadasii C735 delta SOWgp	222929:000426	C5P2Y5	Alanine-tRNA ligase, class IIc
EOG092C0P21	Alanine-tRNA ligase, class IIc	4751	226230	Saccharomyces kudriavzevii IFO 1802	226230:000170	J4U2J7	Alanine-tRNA ligase, class IIc
EOG092C0P21	Alanine-tRNA ligase, class IIc	4751	227321	Aspergillus nidulans FGSC A4	227321:0002b9	ala1	Alanyl-tRNA synthetase
EOG092C0P21	Alanine-tRNA ligase, class IIc	4751	229533	Fusarium graminearum PH-1	229533:001750	I1RBI1	Alanine-tRNA ligase, class IIc
EOG092C0P21	Alanine-tRNA ligase, class IIc	4751	235443	Cryptococcus neoformans var. grubii H99	235443:0001dd	J9VWG2	Alanine-tRNA ligase, class IIc
EOG092C0P21	Alanine-tRNA ligase, class IIc	4751	237561	Candida albicans SC5314	237561:00030d	Q5A8K2-2	
EOG092C0P21	Alanine-tRNA ligase, class IIc	4751	237561	Candida albicans SC5314	237561:00030c	ALA1	Alanyl-tRNA synthetase
EOG092C0P21	Alanine-tRNA ligase, class IIc	4751	237631	Ustilago maydis 521	237631:0001bc	Q4P3T0	
EOG092C0P21	Alanine-tRNA ligase, class IIc	4751	240176	Coprinopsis cinerea okayama7#130	240176:00065a	A8N6S6	Alanine-tRNA ligase, class IIc
EOG092C0P21	Alanine-tRNA ligase, class IIc	4751	242507	Magnaporthe oryzae 70-15	242507:000777	G4N7B3	Alanine-tRNA ligase, class IIc
EOG092C0P21	Alanine-tRNA ligase, class IIc	4751	246409	Rhizopus delemar RA 99-880	246409:000990	I1BZN0	Alanine-tRNA ligase, class IIc
EOG092C0P21	Alanine-tRNA ligase, class IIc	4751	246409	Rhizopus delemar RA 99-880	246409:00038d	I1C323	Alanine-tRNA ligase, class IIc
EOG092C0P21	Alanine-tRNA ligase, class IIc	4751	246410	Coccidioides immitis RS	246410:000247	J3KLD6	YEATS
EOG092C0P21	Alanine-tRNA ligase, class IIc	4751	283643	Cryptococcus neoformans var. neoformans B-3501A	283643:0003fb	F5HE46	Alanine-tRNA ligase, class IIc
EOG092C0P21	Alanine-tRNA ligase, class IIc	4751	284590	Kluyveromyces lactis NRRL Y-1140	284590:000715	Q6CLJ9	Alanine-tRNA ligase, class IIc
EOG092C0P21	Alanine-tRNA ligase, class IIc	4751	284591	Yarrowia lipolytica CLIB122	284591:0003a5	Q6CFS9	Alanine-tRNA ligase, class IIc
EOG092C0P21	Alanine-tRNA ligase, class IIc	4751	284592	Debaryomyces hansenii CBS767	284592:0005fa	Q6BZ68	Alanine-tRNA ligase, class IIc
EOG092C0P21	Alanine-tRNA ligase, class IIc	4751	284593	Candida glabrata CBS 138	284593:000625	Q6FV21	Alanine-tRNA ligase, class IIc
EOG092C0P21	Alanine-tRNA ligase, class IIc	4751	284811	Eremothecium gossypii ATCC 10895	284811:00072d	Q759B4	Alanine-tRNA ligase, class IIc
EOG092C0P21	Alanine-tRNA ligase, class IIc	4751	284812	Schizosaccharomyces pombe 972h-	284812:000c71	ala1	Alanyl-tRNA synthetase
EOG092C0P21	Alanine-tRNA ligase, class IIc	4751	284813	Encephalitozoon cuniculi GB-M1	284813:0002a2	Q8SSD4	Alanine-tRNA ligase, class IIc
EOG092C0P21	Alanine-tRNA ligase, class IIc	4751	285006	Saccharomyces cerevisiae RM11-1a	285006:000404	B3LJZ4	Alanine-tRNA ligase, class IIc
EOG092C0P21	Alanine-tRNA ligase, class IIc	4751	294746	Meyerozyma guilliermondii ATCC 6260	294746:000357	A5DAB8	Alanine-tRNA ligase, class IIc
EOG092C0P21	Alanine-tRNA ligase, class IIc	4751	294747	Candida tropicalis MYA-3404	294747:00052d	C5M8K8	Alanine-tRNA ligase, class IIc
EOG092C0P21	Alanine-tRNA ligase, class IIc	4751	294748	Candida albicans WO-1	294748:000115	C4YSD8	Alanine-tRNA ligase, class IIc
