Sequence ID	Probability of presequence	Prediction	Cleavage site (processing enzyme)	Net charge	Positions for TOM20 recognition motif (deliminated by comma)	Position of amphypathic alpha-helix	BHHPPP	BPHBHH	HBHHBb	HBHHbB	HHBHHB	HHBPHB	HHBPHH	HHBPHP	HHHBBH	HHHBPH	HHHHBB	HHPBHH	HPBHHP	PHHBPH
CNAG_00002 Ntermext	0.021	No mitochondrial presequence	17(MPP)	0.176		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00003 Ntermext	0.005	No mitochondrial presequence	51(MPP)	0.000	2-6,6-10	19-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00004 Ntermext	0.003	No mitochondrial presequence	64(MPP)	0.000	7-11,76-80	6-15-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00005 Ntermext	0.006	No mitochondrial presequence	14(MPP)	0.071	28-32,76-80,79-83	19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00006 Ntermext	0.000	No mitochondrial presequence	21(MPP)	-0.048	38-42	8-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00007 Ntermext	0.939	Possessing mitochondrial presequence	34(MPP)	0.118	11-15	8-17-high	-	-	-	-	-	-	-	-	9-14	-	-	-	-	-	
CNAG_00008 Ntermext	0.062	No mitochondrial presequence	26(MPP)	0.077		15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00009 Ntermext	0.405	Possessing mitochondrial presequence	50(MPP)	0.060	14-18	10-19-high	16-21	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00010 Ntermext	0.006	No mitochondrial presequence	10(MPP)	0.100		2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00011 Ntermext	0.228	No mitochondrial presequence	36(MPP)	0.083	5-9,13-17	5-16-high	-	-	-	-	-	-	-	-	3-8,11-16	-	10-15	-	-	-	
CNAG_00012 Ntermext	0.029	No mitochondrial presequence	15(MPP)	0.133		2-12-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00013 Ntermext	0.007	No mitochondrial presequence	49(MPP)	0.061		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00014 Ntermext	0.008	No mitochondrial presequence	31(MPP)	0.065	77-81	2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00015 Ntermext	0.032	No mitochondrial presequence	6(MPP)	0.167		21-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
CNAG_00016 Ntermext	0.003	No mitochondrial presequence	24(MPP)	0.000	47-51	12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
