Sequence ID	Probability of presequence	Prediction	Cleavage site (processing enzyme)	Net charge	Positions for TOM20 recognition motif (deliminated by comma)	Position of amphypathic alpha-helix	BHHPPP	BPHBHH	HBHHBb	HBHHbB	HHBHHB	HHBPHB	HHBPHH	HHBPHP	HHHBBH	HHHBPH	HHHHBB	HHPBHH	HPBHHP	PHHBPH
HISTO_ZL.Contig1161c.genewise.80.final_new_mrna	0.000	No mitochondrial presequence	87(MPP)	0.080	15-19	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GI.Contig382-snap.28.final_new_mrna	0.000	No mitochondrial presequence	42(MPP)	-0.119		5-14-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GP.Contig38.Fgenesh_Neurospora.1.final_new_mrna	0.003	No mitochondrial presequence	43(MPP)	0.023	24-28	15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1131.Fgenesh_histo.181.final_new_mrna	0.000	No mitochondrial presequence	51(MPP)	-0.078	81-85	5-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZY.Contig518.Fgenesh_histo.49.final_new_mrna	0.661	Possessing mitochondrial presequence	77(MPP)	0.026	16-20,74-78,83-87	13-22-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GL.Contig296.Fgenesh_histo.92.final_new_mrna	0.000	No mitochondrial presequence	52(MPP)	0.038	15-19,87-91	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_JG.Contig207.Fgenesh_histo.64.final_new_mrna	0.022	No mitochondrial presequence	20(MPP)	0.100		12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_KF.Contig601.eannot.1280.final_new_mrna	0.157	No mitochondrial presequence	23(MPP)	0.043	20-24,34-38,41-45	12-23-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_FE.Contig19.Fgenesh_histo.282.final_new_mrna	0.000	No mitochondrial presequence	16(MPP)	0.062	7-11,72-76	2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_FO.Contig19.Fgenesh_Neurospora.10.final_new_mrna	0.000	No mitochondrial presequence	34(MPP)	0.000	53-57	18-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZZ.Contig127a.Fgenesh_Aspergillus.39.final_new_mrna	0.000	No mitochondrial presequence	14(MPP)	-0.071	66-70	12-21-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DA.Contig93-snap.196.final_new_mrna	0.000	No mitochondrial presequence	81(MPP)	0.049	78-82	5-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_HS.Contig68-snap.141.final_new_mrna	0.000	No mitochondrial presequence	71(MPP)	-0.070		9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZU.Contig171-snap.7.final_new_mrna	0.067	No mitochondrial presequence	30(MPP)	0.033		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
