# dvsaATG_highdiffn_inframe_H99.txt
# Genes with in-frame high-score dATGs
# In C. neoformans H99:
#   - in top 5% by difference, aATG.scorekn - d1.scorekn
#   - in top 50% by RNA abundance
#   - dATG is in frame with aATG
#
# Gene: systematic gene name
# aATG.scorekn: annotated ATG score against narrow Kozak consensus sequence, strain xx
# d1.scorekn: 1st downstream ATG score against narrow Kozak consensus sequence, strain xx
#
# Edward Wallace, Dec 2018
Gene	aATG.scorekn	d1.scorekn
CNAG_07473	0.606	0.97
CNAG_04147	0.644	0.984
CNAG_04764	0.642	0.948
CNAG_07801	0.676	0.979
CNAG_02259	0.676	0.979
CNAG_03953	0.692	0.991
CNAG_07776	0.702	0.993
CNAG_04179	0.709	0.991
CNAG_00165	0.676	0.957
CNAG_02545	0.667	0.941
CNAG_02431	0.727	1
CNAG_00409	0.651	0.917
CNAG_03486	0.704	0.967
CNAG_01677	0.735	0.991
CNAG_01544	0.727	0.979
CNAG_02880	0.667	0.913
CNAG_06353	0.659	0.904
CNAG_05722	0.669	0.913
CNAG_01092	0.689	0.925
CNAG_07437	0.725	0.96
CNAG_06446	0.765	1
CNAG_03996	0.667	0.899
CNAG_00026	0.727	0.957
CNAG_06000	0.686	0.915
CNAG_03396	0.634	0.862
CNAG_05077	0.712	0.934
CNAG_05678	0.689	0.91
CNAG_00086	0.737	0.957
CNAG_01381	0.727	0.946
CNAG_00358	0.669	0.888
CNAG_06690	0.668	0.885
CNAG_07873	0.733	0.948
CNAG_06236	0.735	0.947
CNAG_00517	0.733	0.934
CNAG_04604	0.79	0.991
CNAG_04219	0.78	0.979
CNAG_00166	0.742	0.938
CNAG_06713	0.79	0.984
CNAG_02306	0.735	0.927
CNAG_06755	0.672	0.864
CNAG_02472	0.758	0.947
CNAG_05900	0.792	0.979
CNAG_02690	0.77	0.955
CNAG_05863	0.763	0.948
CNAG_01128	0.817	1
CNAG_03144	0.796	0.976
CNAG_07664	0.76	0.94
CNAG_01981	0.769	0.947
CNAG_05917	0.768	0.946
CNAG_03753	0.78	0.955
CNAG_03682	0.83	1
CNAG_04017	0.809	0.976
CNAG_06549	0.72	0.885
CNAG_07367	0.716	0.88
CNAG_03809	0.744	0.908
CNAG_02459	0.805	0.967
CNAG_04360	0.745	0.907
CNAG_03722	0.842	1
CNAG_07354	0.804	0.96
CNAG_00401	0.774	0.931
CNAG_04190	0.766	0.923
CNAG_05468	0.748	0.901
CNAG_00562	0.795	0.947
CNAG_06078	0.819	0.972
CNAG_03269	0.729	0.88
CNAG_06889	0.804	0.955
CNAG_04082	0.766	0.917
CNAG_00183	0.826	0.976
CNAG_00577	0.737	0.887
CNAG_04905	0.843	0.991
CNAG_05352	0.77	0.917
CNAG_00195	0.817	0.963
CNAG_05989	0.735	0.88
CNAG_01188	0.651	0.793
CNAG_00081	0.742	0.883
CNAG_00690	0.717	0.857
CNAG_04009	0.83	0.97
CNAG_04584	0.796	0.934
CNAG_00013	0.707	0.845
CNAG_06051	0.864	1
CNAG_03984	0.648	0.784
CNAG_03679	0.823	0.957
CNAG_06219	0.786	0.92
CNAG_02920	0.763	0.896
CNAG_00436	0.712	0.845
CNAG_03578	0.716	0.848
CNAG_02258	0.8	0.932
CNAG_05931	0.693	0.821
CNAG_02851	0.773	0.899
CNAG_07746	0.853	0.979
CNAG_05090	0.763	0.889
CNAG_05226	0.792	0.916
CNAG_06946	0.825	0.948
CNAG_04882	0.788	0.911
CNAG_00997	0.826	0.948
CNAG_07749	0.81	0.932
CNAG_00960	0.717	0.835
CNAG_04646	0.801	0.92
