pub_og_id	og_name	level_taxid	organism_taxid	organism_name	int_prot_id	pub_gene_id	description
EOG092C3QMG	Methionyl-tRNA synthetase	4751	214684	Cryptococcus neoformans var. neoformans JEC21	214684:000f9c	Q5KQ95	Aminoacyl-tRNA synthetase, class 1a, anticodon-binding
EOG092C3QMG	Methionyl-tRNA synthetase	4751	222929	Coccidioides posadasii C735 delta SOWgp	222929:000f84	C5PE24	Aminoacyl-tRNA synthetase, class 1a, anticodon-binding
EOG092C3QMG	Methionyl-tRNA synthetase	4751	226230	Saccharomyces kudriavzevii IFO 1802	226230:000e4d	J4TY61	Aminoacyl-tRNA synthetase, class 1a, anticodon-binding
EOG092C3QMG	Methionyl-tRNA synthetase	4751	227321	Aspergillus nidulans FGSC A4	227321:0023d5	C8V6G5	Aminoacyl-tRNA synthetase, class 1a, anticodon-binding
EOG092C3QMG	Methionyl-tRNA synthetase	4751	229533	Fusarium graminearum PH-1	229533:002c12	I1RPE2	Acyl-CoA N-acyltransferase
EOG092C3QMG	Methionyl-tRNA synthetase	4751	235443	Cryptococcus neoformans var. grubii H99	235443:0008f1	J9VKB6	Aminoacyl-tRNA synthetase, class 1a, anticodon-binding
EOG092C3QMG	Methionyl-tRNA synthetase	4751	237561	Candida albicans SC5314	237561:000490	Q5AK70	Aminoacyl-tRNA synthetase, class 1a, anticodon-binding
EOG092C3QMG	Methionyl-tRNA synthetase	4751	237631	Ustilago maydis 521	237631:0009f7	Q4PCW9	
EOG092C3QMG	Methionyl-tRNA synthetase	4751	240176	Coprinopsis cinerea okayama7#130	240176:000865	A8P6P3	Aminoacyl-tRNA synthetase, class 1a, anticodon-binding
EOG092C3QMG	Methionyl-tRNA synthetase	4751	242507	Magnaporthe oryzae 70-15	242507:0026ae	G4MNG5	Aminoacyl-tRNA synthetase, class 1a, anticodon-binding
EOG092C3QMG	Methionyl-tRNA synthetase	4751	246409	Rhizopus delemar RA 99-880	246409:00110d	I1BIY4	Aminoacyl-tRNA synthetase, class 1a, anticodon-binding
