pub_og_id	og_name	level_taxid	organism_taxid	organism_name	int_prot_id	pub_gene_id	description	"{""status"": ""ok"", ""message"": ""no clusters found"", ""data"": [], ""count"": 0}"
EOG092C00Q9	Ribosomal protein L19/L19e	4751	214684	Cryptococcus neoformans var. neoformans JEC21	214684:000df5	Q5KM99	Armadillo-like helical	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	214684	Cryptococcus neoformans var. neoformans JEC21	214684:0004ab	Q5KBW9	Ribosomal protein L19	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	222929	Coccidioides posadasii C735 delta SOWgp	222929:000579	C5PHQ3	Ribosomal protein L19	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	227321	Aspergillus nidulans FGSC A4	227321:002368	C8V020	Armadillo-like helical	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	227321	Aspergillus nidulans FGSC A4	227321:001d4d	C8V019	Ribosomal protein L19	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	229533	Fusarium graminearum PH-1	229533:002e24	I1S9Y5	Armadillo-like helical	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	229533	Fusarium graminearum PH-1	229533:002631	I1S9Y3	Ribosomal protein L19	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	229533	Fusarium graminearum PH-1	229533:0022a4	I1S9Y4	Armadillo-like helical	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	235443	Cryptococcus neoformans var. grubii H99	235443:0009a9	J9VGH8	Armadillo-like helical	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	235443	Cryptococcus neoformans var. grubii H99	235443:000465	J9VSC8	Ribosomal protein L19	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	237561	Candida albicans SC5314	237561:000897	Q5A5S2	Armadillo-like helical	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	237561	Candida albicans SC5314	237561:0003c3	Q5A5R9	Armadillo-like helical	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	237561	Candida albicans SC5314	237561:0003b4	Q5ANJ7	Ribosomal protein L19/L19e domain	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	237631	Ustilago maydis 521	237631:001247	Q4P620	NA	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	237631	Ustilago maydis 521	237631:000618	Q4PE29	NA	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	240176	Coprinopsis cinerea okayama7#130	240176:002ee7	A8N4W8	Armadillo-like helical	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	240176	Coprinopsis cinerea okayama7#130	240176:00047b	A8N0Q2	Ribosomal protein L19/L19e	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	242507	Magnaporthe oryzae 70-15	242507:002699	G4MR95	Armadillo-like helical	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	242507	Magnaporthe oryzae 70-15	242507:0008c8	G4MRB5	Ribosomal protein L19	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	246409	Rhizopus delemar RA 99-880	246409:00136d	I1C7X2	Ribosomal protein L19/L19e domain	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	246409	Rhizopus delemar RA 99-880	246409:000b99	I1C8G4	Armadillo-like helical	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	246409	Rhizopus delemar RA 99-880	246409:00093f	I1BRK6	Ribosomal protein L19	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	246409	Rhizopus delemar RA 99-880	246409:000912	I1BTK0	Ribosomal protein L19	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	246409	Rhizopus delemar RA 99-880	246409:0003d0	I1CJ38	Ribosomal protein L19	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	246410	Coccidioides immitis RS	246410:001729	J3KI46	NA	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	246410	Coccidioides immitis RS	246410:0003fd	J3KI47	Cyanamide hydratase	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	283643	Cryptococcus neoformans var. neoformans B-3501A	283643:000962	F5HEI0	Armadillo-like helical	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	283643	Cryptococcus neoformans var. neoformans B-3501A	283643:0002b5	F5H9I5	Ribosomal protein L19	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	284590	Kluyveromyces lactis NRRL Y-1140	284590:000a3b	Q6CK97	Armadillo-like helical	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	284590	Kluyveromyces lactis NRRL Y-1140	284590:00072b	Q6CNH9	Ribosomal protein L19/L19e	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	284591	Yarrowia lipolytica CLIB122	284591:001627	Q6C8Q9	Armadillo-like helical	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	284591	Yarrowia lipolytica CLIB122	284591:00069d	Q6C4N4	Ribosomal protein L19/L19e	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	284592	Debaryomyces hansenii CBS767	284592:00110a	Q6BMQ6	Armadillo-like helical	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	284592	Debaryomyces hansenii CBS767	284592:000523	B5RUS3	Ribosomal protein L19	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	284593	Candida glabrata CBS 138	284593:001283	Q6FW99	Armadillo-like helical	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	284593	Candida glabrata CBS 138	284593:000721	Q6FYA5	Ribosomal protein L19/L19e	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	284811	Eremothecium gossypii ATCC 10895	284811:0010f1	Q754A3	Armadillo-like helical	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	284811	Eremothecium gossypii ATCC 10895	284811:00062d	Q756S5	Ribosomal protein L19/L19e	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	284812	Schizosaccharomyces pombe 972h-	284812:0009d4	rpl1902	60S ribosomal protein L19-B	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	284812	Schizosaccharomyces pombe 972h-	284812:0009d3	rpl1901	YL15	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	284812	Schizosaccharomyces pombe 972h-	284812:0003e4	gcn1	Translational activator gcn1	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	285006	Saccharomyces cerevisiae RM11-1a	285006:000e1a	B3LHP4	Armadillo-like helical	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	285006	Saccharomyces cerevisiae RM11-1a	285006:0000cd	B3LN67	Ribosomal protein L19	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	294746	Meyerozyma guilliermondii ATCC 6260	294746:00131c	A5DM74	Ribosomal protein L19/L19e domain	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	294746	Meyerozyma guilliermondii ATCC 6260	294746:000d34	A5DNI8	Armadillo-like helical	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	294747	Candida tropicalis MYA-3404	294747:001758	C5M4V4	Armadillo-like helical	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	294747	Candida tropicalis MYA-3404	294747:00122b	C5M9X7	Ribosomal protein L19/L19e domain	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	294748	Candida albicans WO-1	294748:00149f	C4YQK4	Ribosomal protein L19	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	294748	Candida albicans WO-1	294748:000f90	C4YKV8	Armadillo-like helical	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	306901	Chaetomium globosum CBS 148.51	306901:001098	Q2GUC5	Armadillo-like helical	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	306901	Chaetomium globosum CBS 148.51	306901:00019e	Q2GUC6	Ribosomal protein L19	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	306902	Clavispora lusitaniae ATCC 42720	306902:000b54	C4XW73	Armadillo-like helical	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	307796	Saccharomyces cerevisiae YJM789	307796:001618	A6ZTZ3	Armadillo-like helical	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	307796	Saccharomyces cerevisiae YJM789	307796:0001ac	RPL19B	Ribosomal protein L19	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	321614	Parastagonospora nodorum SN15	321614:0014ca	Q0UYW4	Armadillo-like helical	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	321614	Parastagonospora nodorum SN15	321614:000909	Q0UYM5	Ribosomal protein L19	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	322104	Scheffersomyces stipitis CBS 6054	322104:000680	A3LYJ8	Armadillo-like helical	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	322104	Scheffersomyces stipitis CBS 6054	322104:00026c	A3GHI8	Ribosomal protein L19	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	330879	Aspergillus fumigatus Af293	330879:00206f	Q4X222	Armadillo-like helical	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	330879	Aspergillus fumigatus Af293	330879:000909	Q4X220	Ribosomal protein L19/L19e	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	331117	Neosartorya fischeri NRRL 181	331117:001240	A1DGA6	Armadillo-like helical	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	331117	Neosartorya fischeri NRRL 181	331117:0009cf	A1DGA7	Ribosomal protein L19/L19e	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	332952	Aspergillus flavus NRRL3357	332952:000c06	B8NBX2	Ribosomal protein L19	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	336722	Zymoseptoria tritici IPO323	336722:001cb2	F9XDJ8	Armadillo-like helical	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	336722	Zymoseptoria tritici IPO323	336722:000302	F9XDK3	Ribosomal protein L19	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	336963	Uncinocarpus reesii 1704	336963:0003ff	C4JEW1	Ribosomal protein L19	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	339724	Histoplasma capsulatum NAm1	339724:0023c4	A6RCQ0	Ribosomal protein L19	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	341663	Aspergillus terreus NIH2624	341663:000716	Q0C9J7	Ribosomal protein L19	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	344612	Aspergillus clavatus NRRL 1	344612:001f82	A1CSL7	Armadillo-like helical	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	344612	Aspergillus clavatus NRRL 1	344612:000242	A1CSL8	Ribosomal protein L19	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	367110	Neurospora crassa OR74A	367110:00094b	Q7S5P0	Armadillo-like helical	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	367110	Neurospora crassa OR74A	367110:000760	Q7S5N9	Ribosomal protein L19	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	367775	Cryptococcus gattii WM276	367775:00119c	E6R0U8	Armadillo-like helical	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	367775	Cryptococcus gattii WM276	367775:0001e4	E6RAJ6	Ribosomal protein L19	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	379508	Lodderomyces elongisporus NRRL YB-4239	379508:00084e	A5DY95	Armadillo-like helical	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	380704	Aspergillus niger ATCC 1015	380704:00277f	G3XV74	Armadillo-like helical	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	383855	Pseudocercospora fijiensis CIRAD86	383855:001486	M3A8H8	Armadillo-like helical	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	383855	Pseudocercospora fijiensis CIRAD86	383855:00033f	M2ZPA4	Ribosomal protein L19	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	402676	Schizosaccharomyces japonicus yFS275	402676:0007c2	B6JZI6	Armadillo-like helical	NA
EOG092C00Q9	Ribosomal protein L19/L19e	4751	402676	Schizosaccharomyces japonicus yFS275	402676:000545	B6JVH3	Ribosomal protein L19/L19e	NA
