Gene_name	Type	Sample	Inct.narr	Inct.wide	Nxct.narr	Nxct.wide	Upct.narr	Upct.wide	ORFct	UTR5Ct	ORFlen	UTR5len
CNA00010	RPF	JEC21	17	31	8	43	21	66	1017	5	822	106
CNA00020	RPF	JEC21	36	106	5	118	0	0	5465	0	963	106
CNA00030	RPF	JEC21	0	7	0	1	4	5	1142	217	2970	106
CNA00040	RPF	JEC21	7	152	87	155	NA	NA	9716	NA	1104	106
CNA00050	RPF	JEC21	19	51	5	116	0	1	7891	0	3510	106
CNA00060	RPF	JEC21	101	177	27	334	NA	NA	10045	NA	1749	106
CNA00070	RPF	JEC21	345	762	621	1064	0	0	49191	0	957	106
CNA00075	RPF	JEC21	0	0	0	1	0	0	87	0	639	106
CNA00080	RPF	JEC21	1	4	3	11	NA	NA	127	NA	636	106
CNA00090	RPF	JEC21	20	104	19	352	NA	NA	12281	NA	255	106
CNA00100	RPF	JEC21	0	0	0	1	0	0	568	2	2478	106
CNA00110	RPF	JEC21	24	34	0	14	0	0	8188	0	2412	106
CNA00120	RPF	JEC21	164	395	91	1914	NA	NA	40715	NA	270	106
CNA00130	RPF	JEC21	0	24	19	41	0	0	14716	0	2991	106
CNA00140	RPF	JEC21	29	51	8	239	NA	NA	27764	NA	1383	106
CNA00150	RPF	JEC21	24	155	22	77	0	0	15191	0	816	106
CNA00160	RPF	JEC21	2	7	0	0	0	0	151	1	1101	106
CNA00170	RPF	JEC21	7	60	15	77	NA	NA	12817	NA	2157	106
CNA00180	RPF	JEC21	7	15	1	2	NA	NA	1830	NA	1800	106
CNA00190	RPF	JEC21	14	176	80	319	0	0	67875	1	1383	106
CNA00200	RPF	JEC21	6	23	6	12	NA	NA	1899	NA	2208	106
CNA00210	RPF	JEC21	0	1	1	1	0	5	56	7	1485	106
CNA00220	RPF	JEC21	0	1	0	1	0	0	92	0	1074	106
CNA00225	RPF	JEC21	0	0	0	1	NA	NA	131	NA	936	106
CNA00230	RPF	JEC21	0	6	0	1	0	0	1288	0	2445	106
CNA00240	RPF	JEC21	0	0	0	1	NA	NA	98	NA	804	106
CNA00250	RPF	JEC21	205	25343	3566	14550	NA	NA	674579	NA	576	106
CNA00260	RPF	JEC21	6	14	14	56	NA	NA	4384	NA	1479	106
CNA00270	RPF	JEC21	4	9	3	11	0	0	822	0	870	106
CNA00280	RPF	JEC21	7	55	4	71	0	0	3560	0	1098	106
CNA00290	RPF	JEC21	15	18	13	25	NA	NA	3982	NA	2448	106
CNA00300	RPF	JEC21	24	66	211	1241	NA	NA	45801	NA	1653	106
CNA00310	RPF	JEC21	2	5	1	9	0	0	465	1	1554	106
CNA00320	RPF	JEC21	0	5	23	32	0	1	2067	0	1944	106
CNA00330	RPF	JEC21	7	13	65	105	NA	NA	14352	NA	3348	106
CNA00340	RPF	JEC21	3	32	10	13	0	0	3032	0	1254	106
CNA00350	RPF	JEC21	41	1387	11	228	NA	NA	43494	NA	1053	106
CNA00360	RPF	JEC21	3	32	0	12	NA	NA	1113	NA	1389	106
CNA00370	RPF	JEC21	1	1	0	0	NA	NA	71	NA	1623	106
CNA00380	RPF	JEC21	0	20	1	10	NA	NA	403	NA	978	106
CNA00390	RPF	JEC21	28	89	11	85	NA	NA	8629	NA	906	106
CNA00400	RPF	JEC21	5	20	19	39	13	50	8017	3	4992	106
CNA00410	RPF	JEC21	0	0	2	4	NA	NA	37	NA	285	106
CNA00420	RPF	JEC21	0	6	22	97	2	9	572	10	531	106
CNA00430	RPF	JEC21	3	3	0	0	0	0	142	23	717	106
CNA00450	RPF	JEC21	23	52	10	158	0	1	18006	0	1161	106
CNA00460	RPF	JEC21	23	50	18	79	NA	NA	5538	NA	2025	106
CNA00470	RPF	JEC21	5	18	62	141	NA	NA	8289	NA	1053	106
CNA00480	RPF	JEC21	91	259	38	759	NA	NA	91528	NA	1647	106
CNA00485	RPF	JEC21	4	22	10	48	0	0	2823	0	792	106
CNA00490	RPF	JEC21	63	70	9	13	NA	NA	7507	NA	1212	106
CNA00510	RPF	JEC21	1355	2976	1044	4075	NA	NA	428514	NA	1395	106
CNA00520	RPF	JEC21	2	68	3	88	NA	NA	17894	NA	2481	106
CNA00530	RPF	JEC21	103	261	172	377	0	0	43791	0	1593	106
CNA00540	RPF	JEC21	11	102	21	213	NA	NA	3014	NA	480	106
CNA00550	RPF	JEC21	57	160	108	434	NA	NA	11970	NA	585	106
CNA00560	RPF	JEC21	437	3549	18	234	0	0	109125	0	717	106
